forecast_id,part_id,site_id,forecast_date,forecast_qty,created_at
FC-P-10036-202607,P-10036,SITE-1,2026-07-03,1.0,2026-07-05 20:40:15
FC-P-10036-202608,P-10036,SITE-1,2026-08-01,3.0,2026-07-05 20:40:15
FC-P-10010-202607,P-10010,SITE-1,2026-07-06,2.0,2026-07-19 05:14:34
FC-P-10010-202609,P-10010,SITE-1,2026-09-17,3.0,2026-07-19 05:14:34
FC-P-10010-202610,P-10010,SITE-1,2026-10-19,1.0,2026-07-19 05:14:34
FC-P-10010-202611,P-10010,SITE-1,2026-11-11,1.0,2026-07-19 05:14:34
FC-P-10010-202612,P-10010,SITE-1,2026-12-09,3.0,2026-07-19 05:14:34
FC-P-10010-202702,P-10010,SITE-1,2027-02-22,2.0,2026-07-19 05:14:34
FC-P-10036-202610,P-10036,SITE-1,2026-10-14,2.0,2026-07-19 05:14:34
FC-P-10036-202611,P-10036,SITE-1,2026-11-22,2.0,2026-07-19 05:14:34
FC-P-10036-202701,P-10036,SITE-1,2027-01-05,3.0,2026-07-19 05:14:34
FC-P-10036-202702,P-10036,SITE-1,2027-02-19,1.0,2026-07-19 05:14:34
FC-P-10036-202703,P-10036,SITE-1,2027-03-05,3.0,2026-07-19 05:14:34
