event_id,job_id,event_type,amount,event_date,source_table,source_id
1,WO-00001,RM_ISSUE,149.74,2024-06-05,material_issue,1
2,WO-00003,RM_ISSUE,58.43,2025-03-01,material_issue,2
3,WO-00004,RM_ISSUE,413.69,2025-12-13,material_issue,3
4,WO-00005,RM_ISSUE,36.41,2024-11-01,material_issue,4
5,WO-00005,RM_ISSUE,33.01,2025-09-09,material_issue,5
6,WO-00005,RM_ISSUE,26.85,2024-01-30,material_issue,6
7,WO-00006,RM_ISSUE,17.76,2024-05-10,material_issue,7
8,WO-00006,RM_ISSUE,200.64,2025-07-31,material_issue,8
9,WO-00009,RM_ISSUE,67.66,2024-02-21,material_issue,9
10,WO-00010,RM_ISSUE,420.12,2025-01-23,material_issue,10
11,WO-00010,RM_ISSUE,20.84,2024-01-20,material_issue,11
12,WO-00011,RM_ISSUE,347.16,2025-10-29,material_issue,12
13,WO-00013,RM_ISSUE,229.24,2024-06-05,material_issue,13
14,WO-00014,RM_ISSUE,60.75,2024-08-11,material_issue,14
15,WO-00015,RM_ISSUE,198.35,2025-09-13,material_issue,15
16,WO-00015,RM_ISSUE,133.53,2024-01-27,material_issue,16
17,WO-00015,RM_ISSUE,291.74,2025-02-10,material_issue,17
18,WO-JUL-01,RM_ISSUE,2850.68,2026-07-01,material_issue,18
19,WO-JUL-02,RM_ISSUE,3032.5,2026-07-01,material_issue,19
20,WO-JUL-03,RM_ISSUE,315.9,2026-07-01,material_issue,20
21,WO-JUL-04,RM_ISSUE,2631.96,2026-07-01,material_issue,21
22,WO-JUL-05,RM_ISSUE,602.84,2026-07-01,material_issue,22
23,WO-JUL-06,RM_ISSUE,1315.9,2026-07-01,material_issue,23
24,WO-JUL-07,RM_ISSUE,2050.38,2026-07-01,material_issue,24
25,WO-JUL-08,RM_ISSUE,1654.56,2026-07-01,material_issue,25
26,WO-JUL-09,RM_ISSUE,2414.52,2026-07-02,material_issue,26
27,WO-JUL-10,RM_ISSUE,669.05,2026-07-03,material_issue,27
28,WO-JUL-11,RM_ISSUE,1091.88,2026-07-04,material_issue,28
29,WO-JUL-12,RM_ISSUE,2002.05,2026-07-05,material_issue,29
30,WO-JUL-13,RM_ISSUE,3441.12,2026-07-06,material_issue,30
31,WO-JUL-14,RM_ISSUE,1262.05,2026-07-07,material_issue,31
32,WO-JUL-15,RM_ISSUE,4195.8,2026-07-08,material_issue,32
33,WO-JUL-16,RM_ISSUE,2138.01,2026-07-09,material_issue,33
34,WO-JUL-17,RM_ISSUE,2426.0,2026-07-10,material_issue,34
35,WO-JUL-18,RM_ISSUE,263.25,2026-07-11,material_issue,35
36,WO-JUL-19,RM_ISSUE,5263.92,2026-07-12,material_issue,36
37,WO-JUL-20,RM_ISSUE,452.13,2026-07-13,material_issue,37
38,WO-JUL-21,RM_ISSUE,1052.72,2026-07-14,material_issue,38
39,WO-JUL-22,RM_ISSUE,1708.65,2026-07-15,material_issue,39
40,WO-JUL-23,RM_ISSUE,3309.12,2026-07-16,material_issue,40
41,WO-JUL-24,RM_ISSUE,1810.89,2026-07-17,material_issue,41
42,WO-JUL-25,RM_ISSUE,535.24,2026-07-18,material_issue,42
43,WO-JUL-26,RM_ISSUE,909.9,2026-07-19,material_issue,43
44,WO-JUL-27,RM_ISSUE,4004.1,2026-07-20,material_issue,44
45,WO-JUL-28,RM_ISSUE,2580.84,2026-07-21,material_issue,45
46,WO-JUL-29,RM_ISSUE,1009.64,2026-07-22,material_issue,46
47,WO-JUL-30,RM_ISSUE,3496.5,2026-07-23,material_issue,47
48,WO-JUL-31,RM_ISSUE,4276.02,2026-07-24,material_issue,48
49,WO-00001,LABOR,28.55,2025-06-27 08:09:00,labor_ticket,1
50,WO-00001,BURDEN,14.25,2025-06-27 08:09:00,labor_ticket,1
51,WO-00001,LABOR,14.28,2025-07-03 08:09:00,labor_ticket,2
52,WO-00001,BURDEN,7.2,2025-07-03 08:09:00,labor_ticket,2
53,WO-00001,LABOR,14.27,2025-07-11 08:15:36,labor_ticket,3
54,WO-00001,BURDEN,7.15,2025-07-11 08:15:36,labor_ticket,3
55,WO-00003,LABOR,56.94,2025-06-29 08:58:48,labor_ticket,4
56,WO-00003,BURDEN,28.42,2025-06-29 08:58:48,labor_ticket,4
57,WO-00003,LABOR,28.47,2025-10-09 08:08:24,labor_ticket,5
58,WO-00003,BURDEN,14.7,2025-10-09 08:08:24,labor_ticket,5
59,WO-00003,LABOR,14.24,2025-11-11 08:15:36,labor_ticket,6
60,WO-00003,BURDEN,7.15,2025-11-11 08:15:36,labor_ticket,6
61,WO-00004,LABOR,52.27,2025-03-09 08:54:00,labor_ticket,7
62,WO-00004,BURDEN,26.1,2025-03-09 08:54:00,labor_ticket,7
63,WO-00004,LABOR,26.14,2025-04-06 08:07:12,labor_ticket,8
64,WO-00004,BURDEN,12.6,2025-04-06 08:07:12,labor_ticket,8
65,WO-00004,LABOR,13.07,2025-04-13 08:14:24,labor_ticket,9
66,WO-00004,BURDEN,6.6,2025-04-13 08:14:24,labor_ticket,9
67,WO-00005,LABOR,25.54,2025-11-18 08:08:24,labor_ticket,10
68,WO-00005,BURDEN,13.3,2025-11-18 08:08:24,labor_ticket,10
69,WO-00005,LABOR,12.77,2025-12-02 08:07:48,labor_ticket,11
70,WO-00005,BURDEN,6.24,2025-12-02 08:07:48,labor_ticket,11
71,WO-00005,LABOR,12.76,2025-12-26 08:13:48,labor_ticket,12
72,WO-00005,BURDEN,6.33,2025-12-26 08:13:48,labor_ticket,12
73,WO-00006,LABOR,55.58,2024-01-22 08:57:36,labor_ticket,13
74,WO-00006,BURDEN,27.84,2024-01-22 08:57:36,labor_ticket,13
75,WO-00006,LABOR,27.79,2024-03-03 08:07:48,labor_ticket,14
76,WO-00006,BURDEN,13.65,2024-03-03 08:07:48,labor_ticket,14
77,WO-00006,LABOR,13.9,2024-03-19 08:15:00,labor_ticket,15
78,WO-00006,BURDEN,6.88,2024-03-19 08:15:00,labor_ticket,15
79,WO-00007,LABOR,53.1,2024-03-01 08:16:12,labor_ticket,16
80,WO-00007,BURDEN,27.0,2024-03-01 08:16:12,labor_ticket,16
81,WO-00007,LABOR,106.19,2024-06-25 10:12:36,labor_ticket,17
82,WO-00007,BURDEN,53.04,2024-06-25 10:12:36,labor_ticket,17
83,WO-00007,LABOR,26.55,2025-06-02 08:28:48,labor_ticket,18
84,WO-00007,BURDEN,13.2,2025-06-02 08:28:48,labor_ticket,18
85,WO-00008,LABOR,5.29,2025-11-16 08:02:24,labor_ticket,19
86,WO-00008,BURDEN,2.88,2025-11-16 08:02:24,labor_ticket,19
87,WO-00008,LABOR,5.3,2025-12-08 08:06:00,labor_ticket,20
88,WO-00008,BURDEN,2.75,2025-12-08 08:06:00,labor_ticket,20
89,WO-00009,LABOR,56.12,2025-02-20 08:17:24,labor_ticket,21
90,WO-00009,BURDEN,29.0,2025-02-20 08:17:24,labor_ticket,21
91,WO-00009,LABOR,112.24,2025-04-18 10:20:24,labor_ticket,22
92,WO-00009,BURDEN,56.16,2025-04-18 10:20:24,labor_ticket,22
93,WO-00009,LABOR,28.06,2025-10-02 08:30:36,labor_ticket,23
94,WO-00009,BURDEN,14.03,2025-10-02 08:30:36,labor_ticket,23
95,WO-00010,LABOR,27.2,2024-02-25 08:09:00,labor_ticket,24
96,WO-00010,BURDEN,14.25,2024-02-25 08:09:00,labor_ticket,24
97,WO-00010,LABOR,13.6,2024-07-15 08:08:24,labor_ticket,25
98,WO-00010,BURDEN,6.72,2024-07-15 08:08:24,labor_ticket,25
99,WO-00010,LABOR,13.59,2025-04-19 08:15:00,labor_ticket,26
100,WO-00010,BURDEN,6.88,2025-04-19 08:15:00,labor_ticket,26
101,WO-00011,LABOR,5.0,2025-04-04 08:02:24,labor_ticket,27
102,WO-00011,BURDEN,2.88,2025-04-04 08:02:24,labor_ticket,27
103,WO-00011,LABOR,5.0,2025-04-12 08:05:24,labor_ticket,28
104,WO-00011,BURDEN,2.48,2025-04-12 08:05:24,labor_ticket,28
105,WO-00013,LABOR,25.82,2025-02-20 08:08:24,labor_ticket,29
106,WO-00013,BURDEN,13.3,2025-02-20 08:08:24,labor_ticket,29
107,WO-00013,LABOR,12.91,2025-03-05 08:08:24,labor_ticket,30
108,WO-00013,BURDEN,6.72,2025-03-05 08:08:24,labor_ticket,30
109,WO-00013,LABOR,12.91,2025-03-27 08:13:48,labor_ticket,31
110,WO-00013,BURDEN,6.33,2025-03-27 08:13:48,labor_ticket,31
111,WO-00014,LABOR,5.67,2025-02-03 08:02:24,labor_ticket,32
112,WO-00014,BURDEN,2.88,2025-02-03 08:02:24,labor_ticket,32
113,WO-00014,LABOR,5.66,2025-02-22 08:06:00,labor_ticket,33
114,WO-00014,BURDEN,2.75,2025-02-22 08:06:00,labor_ticket,33
115,WO-00015,LABOR,50.03,2025-07-23 08:51:36,labor_ticket,34
116,WO-00015,BURDEN,24.94,2025-07-23 08:51:36,labor_ticket,34
117,WO-00015,LABOR,25.02,2025-10-22 08:07:12,labor_ticket,35
118,WO-00015,BURDEN,12.6,2025-10-22 08:07:12,labor_ticket,35
119,WO-00015,LABOR,12.51,2025-11-21 08:13:48,labor_ticket,36
120,WO-00015,BURDEN,6.33,2025-11-21 08:13:48,labor_ticket,36
121,WO-JUL-01,LABOR,162.5,2026-07-01 08:52:48,labor_ticket,37
122,WO-JUL-01,BURDEN,83.6,2026-07-01 08:52:48,labor_ticket,37
123,WO-JUL-02,LABOR,175.0,2026-07-01 08:57:00,labor_ticket,38
124,WO-JUL-02,BURDEN,90.25,2026-07-01 08:57:00,labor_ticket,38
125,WO-JUL-03,LABOR,187.5,2026-07-02 09:00:36,labor_ticket,39
126,WO-JUL-03,BURDEN,95.95,2026-07-02 09:00:36,labor_ticket,39
127,WO-JUL-04,LABOR,200.0,2026-07-03 09:04:48,labor_ticket,40
128,WO-JUL-04,BURDEN,102.6,2026-07-03 09:04:48,labor_ticket,40
129,WO-JUL-05,LABOR,212.5,2026-07-04 09:09:00,labor_ticket,41
130,WO-JUL-05,BURDEN,109.25,2026-07-04 09:09:00,labor_ticket,41
131,WO-JUL-06,LABOR,225.0,2026-07-05 09:13:12,labor_ticket,42
132,WO-JUL-06,BURDEN,115.9,2026-07-05 09:13:12,labor_ticket,42
133,WO-JUL-07,LABOR,237.5,2026-07-06 09:16:48,labor_ticket,43
134,WO-JUL-07,BURDEN,121.6,2026-07-06 09:16:48,labor_ticket,43
135,WO-JUL-08,LABOR,250.0,2026-07-07 09:21:00,labor_ticket,44
136,WO-JUL-08,BURDEN,128.25,2026-07-07 09:21:00,labor_ticket,44
137,WO-JUL-09,LABOR,262.5,2026-07-08 09:25:12,labor_ticket,45
138,WO-JUL-09,BURDEN,134.9,2026-07-08 09:25:12,labor_ticket,45
139,WO-JUL-10,LABOR,275.0,2026-07-09 09:29:24,labor_ticket,46
