line_id,event_id,job_id,part_id,amount,event_type,event_date
1,94,WO-00001,P-10025,507.03,FG_COMPLETION,2025-07-19
2,95,WO-00003,P-10024,231.6,FG_COMPLETION,2026-01-16
3,96,WO-00004,P-10025,10702.66,FG_COMPLETION,2025-04-29
4,97,WO-00005,P-10012,460.92,FG_COMPLETION,2026-01-21
5,98,WO-00006,P-10011,804.87,FG_COMPLETION,2024-04-13
6,99,WO-00007,P-10010,279.08,FG_COMPLETION,2026-01-14
7,100,WO-00008,P-10025,16.22,FG_COMPLETION,2026-01-19
8,101,WO-00009,P-10036,2379.34,FG_COMPLETION,2026-01-21
9,102,WO-00010,P-10024,444.87,FG_COMPLETION,2026-01-21
10,103,WO-00011,P-10011,44.58,FG_COMPLETION,2025-04-28
11,104,WO-00013,P-10036,111.11,FG_COMPLETION,2025-04-19
12,105,WO-00014,P-10024,209.49,FG_COMPLETION,2025-04-01
13,106,WO-00015,P-10024,349.83,FG_COMPLETION,2026-01-20
76,448,WO-JUL-01,MCH-51001,3121.51,FG_COMPLETION,2026-07-01
77,449,WO-JUL-02,MCH-51002,3312.58,FG_COMPLETION,2026-07-02
78,450,WO-JUL-03,MCH-51003,624.08,FG_COMPLETION,2026-07-03
79,451,WO-JUL-04,MCH-51004,2956.19,FG_COMPLETION,2026-07-04
80,452,WO-JUL-05,MCH-51005,941.54,FG_COMPLETION,2026-07-05
81,453,WO-JUL-06,MCH-51006,1674.64,FG_COMPLETION,2026-07-06
82,454,WO-JUL-07,MCH-51007,2408.34,FG_COMPLETION,2026-07-07
83,455,WO-JUL-08,MCH-51008,2069.08,FG_COMPLETION,2026-07-08
84,456,WO-JUL-09,MCH-51009,2857.28,FG_COMPLETION,2026-07-09
85,457,WO-JUL-10,MCH-51010,1132.95,FG_COMPLETION,2026-07-10
86,458,WO-JUL-11,MCH-51011,1536.44,FG_COMPLETION,2026-07-11
87,459,WO-JUL-12,MCH-51012,2489.32,FG_COMPLETION,2026-07-12
88,460,WO-JUL-13,MCH-51013,3920.57,FG_COMPLETION,2026-07-13
89,461,WO-JUL-14,MCH-51014,1779.18,FG_COMPLETION,2026-07-14
90,462,WO-JUL-15,MCH-51015,4716.77,FG_COMPLETION,2026-07-15
91,463,WO-JUL-16,MCH-51016,2690.35,FG_COMPLETION,2026-07-16
92,464,WO-JUL-17,MCH-51017,3014.28,FG_COMPLETION,2026-07-17
93,465,WO-JUL-18,MCH-51018,808.38,FG_COMPLETION,2026-07-18
94,466,WO-JUL-19,MCH-51019,5914.19,FG_COMPLETION,2026-07-19
95,467,WO-JUL-20,MCH-51020,1107.41,FG_COMPLETION,2026-07-20
96,468,WO-JUL-21,MCH-51021,1684.82,FG_COMPLETION,2026-07-21
97,469,WO-JUL-22,MCH-51022,2306.94,FG_COMPLETION,2026-07-22
98,470,WO-JUL-23,MCH-51023,4025.2,FG_COMPLETION,2026-07-23
99,471,WO-JUL-24,MCH-51024,2459.63,FG_COMPLETION,2026-07-24
100,472,WO-JUL-25,MCH-51025,1238.59,FG_COMPLETION,2026-07-25
101,473,WO-JUL-26,MCH-51001,1609.67,FG_COMPLETION,2026-07-26
102,474,WO-JUL-27,MCH-51002,4770.88,FG_COMPLETION,2026-07-27
103,475,WO-JUL-28,MCH-51003,3353.32,FG_COMPLETION,2026-07-28
104,476,WO-JUL-29,MCH-51004,1742.48,FG_COMPLETION,2026-07-29
105,477,WO-JUL-30,MCH-51005,4227.57,FG_COMPLETION,2026-07-30
106,478,WO-JUL-31,MCH-51006,5071.28,FG_COMPLETION,2026-07-31
107,479,WO-00003,P-10024,-231.6,CUSTOMER_SHIPMENT,2026-07-23
108,480,WO-00010,P-10024,-444.87,CUSTOMER_SHIPMENT,2026-07-23
109,481,WO-00014,P-10024,-209.49,CUSTOMER_SHIPMENT,2026-07-23
110,482,WO-00015,P-10024,-349.83,CUSTOMER_SHIPMENT,2026-07-23
