line_id,event_id,job_id,amount,event_type,event_date
1,1,WO-00001,18.92,MATERIAL,2024-06-22
2,2,WO-00001,260.8,MATERIAL,2024-12-09
3,3,WO-00001,141.61,MATERIAL,2024-07-22
4,4,WO-00003,81.68,MATERIAL,2024-03-15
5,5,WO-00004,6085.2,MATERIAL,2025-05-21
6,6,WO-00004,4480.68,MATERIAL,2024-04-19
7,7,WO-00005,383.98,MATERIAL,2025-04-20
8,8,WO-00006,132.92,MATERIAL,2024-05-16
9,9,WO-00006,249.5,MATERIAL,2025-03-29
10,10,WO-00006,276.81,MATERIAL,2025-04-01
11,11,WO-00009,82.48,MATERIAL,2025-10-14
12,12,WO-00009,942.35,MATERIAL,2025-03-26
13,13,WO-00009,1058.9,MATERIAL,2025-07-07
14,14,WO-00010,362.63,MATERIAL,2025-12-24
15,15,WO-00011,29.22,MATERIAL,2025-03-01
16,16,WO-00013,33.12,MATERIAL,2025-12-13
17,17,WO-00014,72.82,MATERIAL,2024-11-01
18,18,WO-00014,66.01,MATERIAL,2025-09-09
19,19,WO-00014,53.7,MATERIAL,2024-01-30
20,20,WO-00015,17.76,MATERIAL,2024-05-10
21,21,WO-00015,200.64,MATERIAL,2025-07-31
22,22,WO-00001,28.55,LABOR,2025-06-27 08:09:00
23,23,WO-00001,14.25,BURDEN,2025-06-27 08:09:00
24,24,WO-00001,14.28,LABOR,2025-07-03 08:09:00
25,25,WO-00001,7.2,BURDEN,2025-07-03 08:09:00
26,26,WO-00001,14.27,LABOR,2025-07-11 08:15:36
27,27,WO-00001,7.15,BURDEN,2025-07-11 08:15:36
28,28,WO-00003,56.94,LABOR,2025-06-29 08:58:48
29,29,WO-00003,28.42,BURDEN,2025-06-29 08:58:48
30,30,WO-00003,28.47,LABOR,2025-10-09 08:08:24
31,31,WO-00003,14.7,BURDEN,2025-10-09 08:08:24
32,32,WO-00003,14.24,LABOR,2025-11-11 08:15:36
33,33,WO-00003,7.15,BURDEN,2025-11-11 08:15:36
34,34,WO-00004,52.27,LABOR,2025-03-09 08:54:00
35,35,WO-00004,26.1,BURDEN,2025-03-09 08:54:00
36,36,WO-00004,26.14,LABOR,2025-04-06 08:07:12
37,37,WO-00004,12.6,BURDEN,2025-04-06 08:07:12
38,38,WO-00004,13.07,LABOR,2025-04-13 08:14:24
39,39,WO-00004,6.6,BURDEN,2025-04-13 08:14:24
40,40,WO-00005,25.54,LABOR,2025-11-18 08:08:24
41,41,WO-00005,13.3,BURDEN,2025-11-18 08:08:24
42,42,WO-00005,12.77,LABOR,2025-12-02 08:07:48
43,43,WO-00005,6.24,BURDEN,2025-12-02 08:07:48
44,44,WO-00005,12.76,LABOR,2025-12-26 08:13:48
45,45,WO-00005,6.33,BURDEN,2025-12-26 08:13:48
46,46,WO-00006,55.58,LABOR,2024-01-22 08:57:36
47,47,WO-00006,27.84,BURDEN,2024-01-22 08:57:36
48,48,WO-00006,27.79,LABOR,2024-03-03 08:07:48
49,49,WO-00006,13.65,BURDEN,2024-03-03 08:07:48
50,50,WO-00006,13.9,LABOR,2024-03-19 08:15:00
51,51,WO-00006,6.88,BURDEN,2024-03-19 08:15:00
52,52,WO-00007,53.1,LABOR,2024-03-01 08:16:12
53,53,WO-00007,27.0,BURDEN,2024-03-01 08:16:12
54,54,WO-00007,106.19,LABOR,2024-06-25 10:12:36
55,55,WO-00007,53.04,BURDEN,2024-06-25 10:12:36
56,56,WO-00007,26.55,LABOR,2025-06-02 08:28:48
57,57,WO-00007,13.2,BURDEN,2025-06-02 08:28:48
58,58,WO-00008,5.29,LABOR,2025-11-16 08:02:24
59,59,WO-00008,2.88,BURDEN,2025-11-16 08:02:24
60,60,WO-00008,5.3,LABOR,2025-12-08 08:06:00
61,61,WO-00008,2.75,BURDEN,2025-12-08 08:06:00
62,62,WO-00009,56.12,LABOR,2025-02-20 08:17:24
63,63,WO-00009,29.0,BURDEN,2025-02-20 08:17:24
64,64,WO-00009,112.24,LABOR,2025-04-18 10:20:24
65,65,WO-00009,56.16,BURDEN,2025-04-18 10:20:24
66,66,WO-00009,28.06,LABOR,2025-10-02 08:30:36
67,67,WO-00009,14.03,BURDEN,2025-10-02 08:30:36
68,68,WO-00010,27.2,LABOR,2024-02-25 08:09:00
69,69,WO-00010,14.25,BURDEN,2024-02-25 08:09:00
70,70,WO-00010,13.6,LABOR,2024-07-15 08:08:24
71,71,WO-00010,6.72,BURDEN,2024-07-15 08:08:24
72,72,WO-00010,13.59,LABOR,2025-04-19 08:15:00
73,73,WO-00010,6.88,BURDEN,2025-04-19 08:15:00
74,74,WO-00011,5.0,LABOR,2025-04-04 08:02:24
75,75,WO-00011,2.88,BURDEN,2025-04-04 08:02:24
76,76,WO-00011,5.0,LABOR,2025-04-12 08:05:24
77,77,WO-00011,2.48,BURDEN,2025-04-12 08:05:24
78,78,WO-00013,25.82,LABOR,2025-02-20 08:08:24
79,79,WO-00013,13.3,BURDEN,2025-02-20 08:08:24
80,80,WO-00013,12.91,LABOR,2025-03-05 08:08:24
81,81,WO-00013,6.72,BURDEN,2025-03-05 08:08:24
82,82,WO-00013,12.91,LABOR,2025-03-27 08:13:48
83,83,WO-00013,6.33,BURDEN,2025-03-27 08:13:48
84,84,WO-00014,5.67,LABOR,2025-02-03 08:02:24
85,85,WO-00014,2.88,BURDEN,2025-02-03 08:02:24
86,86,WO-00014,5.66,LABOR,2025-02-22 08:06:00
87,87,WO-00014,2.75,BURDEN,2025-02-22 08:06:00
88,88,WO-00015,50.03,LABOR,2025-07-23 08:51:36
89,89,WO-00015,24.94,BURDEN,2025-07-23 08:51:36
90,90,WO-00015,25.02,LABOR,2025-10-22 08:07:12
91,91,WO-00015,12.6,BURDEN,2025-10-22 08:07:12
92,92,WO-00015,12.51,LABOR,2025-11-21 08:13:48
93,93,WO-00015,6.33,BURDEN,2025-11-21 08:13:48
280,355,WO-JUL-01,2850.68,MATERIAL,2026-07-01
281,356,WO-JUL-02,3032.5,MATERIAL,2026-07-01
282,357,WO-JUL-03,315.9,MATERIAL,2026-07-01
283,358,WO-JUL-04,2631.96,MATERIAL,2026-07-01
284,359,WO-JUL-05,602.84,MATERIAL,2026-07-01
285,360,WO-JUL-06,1315.9,MATERIAL,2026-07-01
286,361,WO-JUL-07,2050.38,MATERIAL,2026-07-01
287,362,WO-JUL-08,1654.56,MATERIAL,2026-07-01
288,363,WO-JUL-09,2414.52,MATERIAL,2026-07-02
289,364,WO-JUL-10,669.05,MATERIAL,2026-07-03
290,365,WO-JUL-11,1091.88,MATERIAL,2026-07-04
291,366,WO-JUL-12,2002.05,MATERIAL,2026-07-05
292,367,WO-JUL-13,3441.12,MATERIAL,2026-07-06
293,368,WO-JUL-14,1262.05,MATERIAL,2026-07-07
294,369,WO-JUL-15,4195.8,MATERIAL,2026-07-08
295,370,WO-JUL-16,2138.01,MATERIAL,2026-07-09
296,371,WO-JUL-17,2426.0,MATERIAL,2026-07-10
297,372,WO-JUL-18,263.25,MATERIAL,2026-07-11
298,373,WO-JUL-19,5263.92,MATERIAL,2026-07-12
299,374,WO-JUL-20,452.13,MATERIAL,2026-07-13
300,375,WO-JUL-21,1052.72,MATERIAL,2026-07-14
301,376,WO-JUL-22,1708.65,MATERIAL,2026-07-15
302,377,WO-JUL-23,3309.12,MATERIAL,2026-07-16
303,378,WO-JUL-24,1810.89,MATERIAL,2026-07-17
304,379,WO-JUL-25,535.24,MATERIAL,2026-07-18
305,380,WO-JUL-26,909.9,MATERIAL,2026-07-19
306,381,WO-JUL-27,4004.1,MATERIAL,2026-07-20
307,382,WO-JUL-28,2580.84,MATERIAL,2026-07-21
308,383,WO-JUL-29,1009.64,MATERIAL,2026-07-22
309,384,WO-JUL-30,3496.5,MATERIAL,2026-07-23
310,385,WO-JUL-31,4276.02,MATERIAL,2026-07-24
311,386,WO-JUL-01,178.68,LABOR,2026-07-01 08:58:12
312,387,WO-JUL-01,92.15,BURDEN,2026-07-01 08:58:12
313,388,WO-JUL-02,185.08,LABOR,2026-07-01 09:00:00
314,389,WO-JUL-02,95.0,BURDEN,2026-07-01 09:00:00
315,390,WO-JUL-03,203.68,LABOR,2026-07-01 09:06:00
316,391,WO-JUL-03,104.5,BURDEN,2026-07-01 09:06:00
317,392,WO-JUL-04,214.03,LABOR,2026-07-01 09:09:36
318,393,WO-JUL-04,110.2,BURDEN,2026-07-01 09:09:36
319,394,WO-JUL-05,223.75,LABOR,2026-07-01 09:12:36
320,395,WO-JUL-05,114.95,BURDEN,2026-07-01 09:12:36
321,396,WO-JUL-06,237.14,LABOR,2026-07-01 09:16:48
322,397,WO-JUL-06,121.6,BURDEN,2026-07-01 09:16:48
323,398,WO-JUL-07,236.36,LABOR,2026-07-01 09:16:48
324,399,WO-JUL-07,121.6,BURDEN,2026-07-01 09:16:48
325,400,WO-JUL-08,273.92,LABOR,2026-07-01 09:28:48
326,401,WO-JUL-08,140.6,BURDEN,2026-07-01 09:28:48
327,402,WO-JUL-09,292.66,LABOR,2026-07-02 09:34:48
328,403,WO-JUL-09,150.1,BURDEN,2026-07-02 09:34:48
329,404,WO-JUL-10,306.2,LABOR,2026-07-03 09:39:36
330,405,WO-JUL-10,157.7,BURDEN,2026-07-03 09:39:36
331,406,WO-JUL-11,293.51,LABOR,2026-07-04 09:35:24
332,407,WO-JUL-11,151.05,BURDEN,2026-07-04 09:35:24
333,408,WO-JUL-12,321.97,LABOR,2026-07-05 09:44:24
334,409,WO-JUL-12,165.3,BURDEN,2026-07-05 09:44:24
335,410,WO-JUL-13,317.0,LABOR,2026-07-06 09:42:36
336,411,WO-JUL-13,162.45,BURDEN,2026-07-06 09:42:36
337,412,WO-JUL-14,341.38,LABOR,2026-07-07 09:51:00
338,413,WO-JUL-14,175.75,BURDEN,2026-07-07 09:51:00
339,414,WO-JUL-15,344.27,LABOR,2026-07-08 09:51:36
340,415,WO-JUL-15,176.7,BURDEN,2026-07-08 09:51:36
341,416,WO-JUL-16,365.19,LABOR,2026-07-09 09:58:12
342,417,WO-JUL-16,187.15,BURDEN,2026-07-09 09:58:12
343,418,WO-JUL-17,388.78,LABOR,2026-07-10 10:06:00
344,419,WO-JUL-17,199.5,BURDEN,2026-07-10 10:06:00
345,420,WO-JUL-18,359.88,LABOR,2026-07-11 09:57:00
346,421,WO-JUL-18,185.25,BURDEN,2026-07-11 09:57:00
347,422,WO-JUL-19,429.87,LABOR,2026-07-12 10:19:12
348,423,WO-JUL-19,220.4,BURDEN,2026-07-12 10:19:12
349,424,WO-JUL-20,432.98,LABOR,2026-07-13 10:20:24
350,425,WO-JUL-20,222.3,BURDEN,2026-07-13 10:20:24
351,426,WO-JUL-21,417.4,LABOR,2026-07-14 10:15:36
352,427,WO-JUL-21,214.7,BURDEN,2026-07-14 10:15:36
353,428,WO-JUL-22,394.99,LABOR,2026-07-15 10:08:24
354,429,WO-JUL-22,203.3,BURDEN,2026-07-15 10:08:24
355,430,WO-JUL-23,472.88,LABOR,2026-07-16 10:33:36
356,431,WO-JUL-23,243.2,BURDEN,2026-07-16 10:33:36
357,432,WO-JUL-24,428.34,LABOR,2026-07-17 10:19:12
358,433,WO-JUL-24,220.4,BURDEN,2026-07-17 10:19:12
359,434,WO-JUL-25,464.9,LABOR,2026-07-18 10:30:36
360,435,WO-JUL-25,238.45,BURDEN,2026-07-18 10:30:36
361,436,WO-JUL-26,462.27,LABOR,2026-07-19 10:30:00
362,437,WO-JUL-26,237.5,BURDEN,2026-07-19 10:30:00
363,438,WO-JUL-27,506.48,LABOR,2026-07-20 10:44:24
364,439,WO-JUL-27,260.3,BURDEN,2026-07-20 10:44:24
365,440,WO-JUL-28,510.28,LABOR,2026-07-21 10:45:36
366,441,WO-JUL-28,262.2,BURDEN,2026-07-21 10:45:36
367,442,WO-JUL-29,483.94,LABOR,2026-07-22 10:37:12
368,443,WO-JUL-29,248.9,BURDEN,2026-07-22 10:37:12
369,444,WO-JUL-30,483.12,LABOR,2026-07-23 10:36:36
370,445,WO-JUL-30,247.95,BURDEN,2026-07-23 10:36:36
371,446,WO-JUL-31,525.46,LABOR,2026-07-24 10:50:24
372,447,WO-JUL-31,269.8,BURDEN,2026-07-24 10:50:24
