line_id,event_id,job_id,part_id,amount,event_type,event_date
1,1,WO-00001,P-10018,-18.92,RM_ISSUE,2024-06-22
2,2,WO-00001,P-10017,-260.8,RM_ISSUE,2024-12-09
3,3,WO-00001,P-10016,-141.61,RM_ISSUE,2024-07-22
4,4,WO-00003,P-10015,-81.68,RM_ISSUE,2024-03-15
5,5,WO-00004,P-10034,-6085.2,RM_ISSUE,2025-05-21
6,6,WO-00004,P-10016,-4480.68,RM_ISSUE,2024-04-19
7,7,WO-00005,P-10016,-383.98,RM_ISSUE,2025-04-20
8,8,WO-00006,P-10016,-132.92,RM_ISSUE,2024-05-16
9,9,WO-00006,P-10034,-249.5,RM_ISSUE,2025-03-29
10,10,WO-00006,P-10034,-276.81,RM_ISSUE,2025-04-01
11,11,WO-00009,P-10018,-82.48,RM_ISSUE,2025-10-14
12,12,WO-00009,P-10034,-942.35,RM_ISSUE,2025-03-26
13,13,WO-00009,P-10017,-1058.9,RM_ISSUE,2025-07-07
14,14,WO-00010,P-10016,-362.63,RM_ISSUE,2025-12-24
15,15,WO-00011,P-10018,-29.22,RM_ISSUE,2025-03-01
16,16,WO-00013,P-10018,-33.12,RM_ISSUE,2025-12-13
17,17,WO-00014,P-10018,-72.82,RM_ISSUE,2024-11-01
18,18,WO-00014,P-10018,-66.01,RM_ISSUE,2025-09-09
19,19,WO-00014,P-10018,-53.7,RM_ISSUE,2024-01-30
20,20,WO-00015,P-10018,-17.76,RM_ISSUE,2024-05-10
21,21,WO-00015,P-10034,-200.64,RM_ISSUE,2025-07-31
84,355,WO-JUL-01,RMT-54001,-2850.68,RM_ISSUE,2026-07-01
85,356,WO-JUL-02,RMT-54002,-3032.5,RM_ISSUE,2026-07-01
86,357,WO-JUL-03,RMT-54003,-315.9,RM_ISSUE,2026-07-01
87,358,WO-JUL-04,RMT-54004,-2631.96,RM_ISSUE,2026-07-01
88,359,WO-JUL-05,RMT-54005,-602.84,RM_ISSUE,2026-07-01
89,360,WO-JUL-06,RMT-54006,-1315.9,RM_ISSUE,2026-07-01
90,361,WO-JUL-07,RMT-54007,-2050.38,RM_ISSUE,2026-07-01
91,362,WO-JUL-08,RMT-54008,-1654.56,RM_ISSUE,2026-07-01
92,363,WO-JUL-09,RMT-54009,-2414.52,RM_ISSUE,2026-07-02
93,364,WO-JUL-10,RMT-54010,-669.05,RM_ISSUE,2026-07-03
94,365,WO-JUL-11,RMT-54011,-1091.88,RM_ISSUE,2026-07-04
95,366,WO-JUL-12,RMT-54012,-2002.05,RM_ISSUE,2026-07-05
96,367,WO-JUL-13,RMT-54013,-3441.12,RM_ISSUE,2026-07-06
97,368,WO-JUL-14,RMT-54014,-1262.05,RM_ISSUE,2026-07-07
98,369,WO-JUL-15,RMT-54015,-4195.8,RM_ISSUE,2026-07-08
99,370,WO-JUL-16,RMT-54001,-2138.01,RM_ISSUE,2026-07-09
100,371,WO-JUL-17,RMT-54002,-2426.0,RM_ISSUE,2026-07-10
101,372,WO-JUL-18,RMT-54003,-263.25,RM_ISSUE,2026-07-11
102,373,WO-JUL-19,RMT-54004,-5263.92,RM_ISSUE,2026-07-12
103,374,WO-JUL-20,RMT-54005,-452.13,RM_ISSUE,2026-07-13
104,375,WO-JUL-21,RMT-54006,-1052.72,RM_ISSUE,2026-07-14
105,376,WO-JUL-22,RMT-54007,-1708.65,RM_ISSUE,2026-07-15
106,377,WO-JUL-23,RMT-54008,-3309.12,RM_ISSUE,2026-07-16
107,378,WO-JUL-24,RMT-54009,-1810.89,RM_ISSUE,2026-07-17
108,379,WO-JUL-25,RMT-54010,-535.24,RM_ISSUE,2026-07-18
109,380,WO-JUL-26,RMT-54011,-909.9,RM_ISSUE,2026-07-19
110,381,WO-JUL-27,RMT-54012,-4004.1,RM_ISSUE,2026-07-20
111,382,WO-JUL-28,RMT-54013,-2580.84,RM_ISSUE,2026-07-21
112,383,WO-JUL-29,RMT-54014,-1009.64,RM_ISSUE,2026-07-22
113,384,WO-JUL-30,RMT-54015,-3496.5,RM_ISSUE,2026-07-23
114,385,WO-JUL-31,RMT-54001,-4276.02,RM_ISSUE,2026-07-24
