line_id,event_id,job_id,part_id,amount,event_type,event_date
1,1,WO-00001,P-10018,18.92,RM_ISSUE,2024-06-22
2,2,WO-00001,P-10017,260.8,RM_ISSUE,2024-12-09
3,3,WO-00001,P-10016,141.61,RM_ISSUE,2024-07-22
4,4,WO-00003,P-10015,81.68,RM_ISSUE,2024-03-15
5,5,WO-00004,P-10034,6085.2,RM_ISSUE,2025-05-21
6,6,WO-00004,P-10016,4480.68,RM_ISSUE,2024-04-19
7,7,WO-00005,P-10016,383.98,RM_ISSUE,2025-04-20
8,8,WO-00006,P-10016,132.92,RM_ISSUE,2024-05-16
9,9,WO-00006,P-10034,249.5,RM_ISSUE,2025-03-29
10,10,WO-00006,P-10034,276.81,RM_ISSUE,2025-04-01
11,11,WO-00009,P-10018,82.48,RM_ISSUE,2025-10-14
12,12,WO-00009,P-10034,942.35,RM_ISSUE,2025-03-26
13,13,WO-00009,P-10017,1058.9,RM_ISSUE,2025-07-07
14,14,WO-00010,P-10016,362.63,RM_ISSUE,2025-12-24
15,15,WO-00011,P-10018,29.22,RM_ISSUE,2025-03-01
16,16,WO-00013,P-10018,33.12,RM_ISSUE,2025-12-13
17,17,WO-00014,P-10018,72.82,RM_ISSUE,2024-11-01
18,18,WO-00014,P-10018,66.01,RM_ISSUE,2025-09-09
19,19,WO-00014,P-10018,53.7,RM_ISSUE,2024-01-30
20,20,WO-00015,P-10018,17.76,RM_ISSUE,2024-05-10
21,21,WO-00015,P-10034,200.64,RM_ISSUE,2025-07-31
22,22,WO-00001,P-10025,28.55,LABOR,2025-06-27 08:09:00
23,23,WO-00001,P-10025,14.25,BURDEN,2025-06-27 08:09:00
24,24,WO-00001,P-10025,14.28,LABOR,2025-07-03 08:09:00
25,25,WO-00001,P-10025,7.2,BURDEN,2025-07-03 08:09:00
26,26,WO-00001,P-10025,14.27,LABOR,2025-07-11 08:15:36
27,27,WO-00001,P-10025,7.15,BURDEN,2025-07-11 08:15:36
28,28,WO-00003,P-10024,56.94,LABOR,2025-06-29 08:58:48
29,29,WO-00003,P-10024,28.42,BURDEN,2025-06-29 08:58:48
30,30,WO-00003,P-10024,28.47,LABOR,2025-10-09 08:08:24
31,31,WO-00003,P-10024,14.7,BURDEN,2025-10-09 08:08:24
32,32,WO-00003,P-10024,14.24,LABOR,2025-11-11 08:15:36
33,33,WO-00003,P-10024,7.15,BURDEN,2025-11-11 08:15:36
34,34,WO-00004,P-10025,52.27,LABOR,2025-03-09 08:54:00
35,35,WO-00004,P-10025,26.1,BURDEN,2025-03-09 08:54:00
36,36,WO-00004,P-10025,26.14,LABOR,2025-04-06 08:07:12
37,37,WO-00004,P-10025,12.6,BURDEN,2025-04-06 08:07:12
38,38,WO-00004,P-10025,13.07,LABOR,2025-04-13 08:14:24
39,39,WO-00004,P-10025,6.6,BURDEN,2025-04-13 08:14:24
40,40,WO-00005,P-10012,25.54,LABOR,2025-11-18 08:08:24
41,41,WO-00005,P-10012,13.3,BURDEN,2025-11-18 08:08:24
42,42,WO-00005,P-10012,12.77,LABOR,2025-12-02 08:07:48
43,43,WO-00005,P-10012,6.24,BURDEN,2025-12-02 08:07:48
44,44,WO-00005,P-10012,12.76,LABOR,2025-12-26 08:13:48
45,45,WO-00005,P-10012,6.33,BURDEN,2025-12-26 08:13:48
46,46,WO-00006,P-10011,55.58,LABOR,2024-01-22 08:57:36
47,47,WO-00006,P-10011,27.84,BURDEN,2024-01-22 08:57:36
48,48,WO-00006,P-10011,27.79,LABOR,2024-03-03 08:07:48
49,49,WO-00006,P-10011,13.65,BURDEN,2024-03-03 08:07:48
50,50,WO-00006,P-10011,13.9,LABOR,2024-03-19 08:15:00
51,51,WO-00006,P-10011,6.88,BURDEN,2024-03-19 08:15:00
52,52,WO-00007,P-10010,53.1,LABOR,2024-03-01 08:16:12
53,53,WO-00007,P-10010,27.0,BURDEN,2024-03-01 08:16:12
54,54,WO-00007,P-10010,106.19,LABOR,2024-06-25 10:12:36
55,55,WO-00007,P-10010,53.04,BURDEN,2024-06-25 10:12:36
56,56,WO-00007,P-10010,26.55,LABOR,2025-06-02 08:28:48
57,57,WO-00007,P-10010,13.2,BURDEN,2025-06-02 08:28:48
58,58,WO-00008,P-10025,5.29,LABOR,2025-11-16 08:02:24
59,59,WO-00008,P-10025,2.88,BURDEN,2025-11-16 08:02:24
60,60,WO-00008,P-10025,5.3,LABOR,2025-12-08 08:06:00
61,61,WO-00008,P-10025,2.75,BURDEN,2025-12-08 08:06:00
62,62,WO-00009,P-10036,56.12,LABOR,2025-02-20 08:17:24
63,63,WO-00009,P-10036,29.0,BURDEN,2025-02-20 08:17:24
64,64,WO-00009,P-10036,112.24,LABOR,2025-04-18 10:20:24
65,65,WO-00009,P-10036,56.16,BURDEN,2025-04-18 10:20:24
66,66,WO-00009,P-10036,28.06,LABOR,2025-10-02 08:30:36
67,67,WO-00009,P-10036,14.03,BURDEN,2025-10-02 08:30:36
68,68,WO-00010,P-10024,27.2,LABOR,2024-02-25 08:09:00
69,69,WO-00010,P-10024,14.25,BURDEN,2024-02-25 08:09:00
70,70,WO-00010,P-10024,13.6,LABOR,2024-07-15 08:08:24
71,71,WO-00010,P-10024,6.72,BURDEN,2024-07-15 08:08:24
72,72,WO-00010,P-10024,13.59,LABOR,2025-04-19 08:15:00
73,73,WO-00010,P-10024,6.88,BURDEN,2025-04-19 08:15:00
74,74,WO-00011,P-10011,5.0,LABOR,2025-04-04 08:02:24
75,75,WO-00011,P-10011,2.88,BURDEN,2025-04-04 08:02:24
76,76,WO-00011,P-10011,5.0,LABOR,2025-04-12 08:05:24
77,77,WO-00011,P-10011,2.48,BURDEN,2025-04-12 08:05:24
78,78,WO-00013,P-10036,25.82,LABOR,2025-02-20 08:08:24
79,79,WO-00013,P-10036,13.3,BURDEN,2025-02-20 08:08:24
80,80,WO-00013,P-10036,12.91,LABOR,2025-03-05 08:08:24
81,81,WO-00013,P-10036,6.72,BURDEN,2025-03-05 08:08:24
82,82,WO-00013,P-10036,12.91,LABOR,2025-03-27 08:13:48
83,83,WO-00013,P-10036,6.33,BURDEN,2025-03-27 08:13:48
84,84,WO-00014,P-10024,5.67,LABOR,2025-02-03 08:02:24
85,85,WO-00014,P-10024,2.88,BURDEN,2025-02-03 08:02:24
86,86,WO-00014,P-10024,5.66,LABOR,2025-02-22 08:06:00
87,87,WO-00014,P-10024,2.75,BURDEN,2025-02-22 08:06:00
88,88,WO-00015,P-10024,50.03,LABOR,2025-07-23 08:51:36
89,89,WO-00015,P-10024,24.94,BURDEN,2025-07-23 08:51:36
90,90,WO-00015,P-10024,25.02,LABOR,2025-10-22 08:07:12
91,91,WO-00015,P-10024,12.6,BURDEN,2025-10-22 08:07:12
92,92,WO-00015,P-10024,12.51,LABOR,2025-11-21 08:13:48
93,93,WO-00015,P-10024,6.33,BURDEN,2025-11-21 08:13:48
94,94,WO-00001,P-10025,-507.03,FG_COMPLETION,2025-07-19
95,95,WO-00003,P-10024,-231.6,FG_COMPLETION,2026-01-16
96,96,WO-00004,P-10025,-10702.66,FG_COMPLETION,2025-04-29
97,97,WO-00005,P-10012,-460.92,FG_COMPLETION,2026-01-21
98,98,WO-00006,P-10011,-804.87,FG_COMPLETION,2024-04-13
99,99,WO-00007,P-10010,-279.08,FG_COMPLETION,2026-01-14
100,100,WO-00008,P-10025,-16.22,FG_COMPLETION,2026-01-19
101,101,WO-00009,P-10036,-2379.34,FG_COMPLETION,2026-01-21
102,102,WO-00010,P-10024,-444.87,FG_COMPLETION,2026-01-21
103,103,WO-00011,P-10011,-44.58,FG_COMPLETION,2025-04-28
104,104,WO-00013,P-10036,-111.11,FG_COMPLETION,2025-04-19
105,105,WO-00014,P-10024,-209.49,FG_COMPLETION,2025-04-01
106,106,WO-00015,P-10024,-349.83,FG_COMPLETION,2026-01-20
355,355,WO-JUL-01,RMT-54001,2850.68,RM_ISSUE,2026-07-01
356,356,WO-JUL-02,RMT-54002,3032.5,RM_ISSUE,2026-07-01
357,357,WO-JUL-03,RMT-54003,315.9,RM_ISSUE,2026-07-01
358,358,WO-JUL-04,RMT-54004,2631.96,RM_ISSUE,2026-07-01
359,359,WO-JUL-05,RMT-54005,602.84,RM_ISSUE,2026-07-01
360,360,WO-JUL-06,RMT-54006,1315.9,RM_ISSUE,2026-07-01
361,361,WO-JUL-07,RMT-54007,2050.38,RM_ISSUE,2026-07-01
362,362,WO-JUL-08,RMT-54008,1654.56,RM_ISSUE,2026-07-01
363,363,WO-JUL-09,RMT-54009,2414.52,RM_ISSUE,2026-07-02
364,364,WO-JUL-10,RMT-54010,669.05,RM_ISSUE,2026-07-03
365,365,WO-JUL-11,RMT-54011,1091.88,RM_ISSUE,2026-07-04
366,366,WO-JUL-12,RMT-54012,2002.05,RM_ISSUE,2026-07-05
367,367,WO-JUL-13,RMT-54013,3441.12,RM_ISSUE,2026-07-06
368,368,WO-JUL-14,RMT-54014,1262.05,RM_ISSUE,2026-07-07
369,369,WO-JUL-15,RMT-54015,4195.8,RM_ISSUE,2026-07-08
370,370,WO-JUL-16,RMT-54001,2138.01,RM_ISSUE,2026-07-09
371,371,WO-JUL-17,RMT-54002,2426.0,RM_ISSUE,2026-07-10
372,372,WO-JUL-18,RMT-54003,263.25,RM_ISSUE,2026-07-11
373,373,WO-JUL-19,RMT-54004,5263.92,RM_ISSUE,2026-07-12
374,374,WO-JUL-20,RMT-54005,452.13,RM_ISSUE,2026-07-13
375,375,WO-JUL-21,RMT-54006,1052.72,RM_ISSUE,2026-07-14
376,376,WO-JUL-22,RMT-54007,1708.65,RM_ISSUE,2026-07-15
377,377,WO-JUL-23,RMT-54008,3309.12,RM_ISSUE,2026-07-16
378,378,WO-JUL-24,RMT-54009,1810.89,RM_ISSUE,2026-07-17
379,379,WO-JUL-25,RMT-54010,535.24,RM_ISSUE,2026-07-18
380,380,WO-JUL-26,RMT-54011,909.9,RM_ISSUE,2026-07-19
381,381,WO-JUL-27,RMT-54012,4004.1,RM_ISSUE,2026-07-20
382,382,WO-JUL-28,RMT-54013,2580.84,RM_ISSUE,2026-07-21
383,383,WO-JUL-29,RMT-54014,1009.64,RM_ISSUE,2026-07-22
384,384,WO-JUL-30,RMT-54015,3496.5,RM_ISSUE,2026-07-23
385,385,WO-JUL-31,RMT-54001,4276.02,RM_ISSUE,2026-07-24
386,386,WO-JUL-01,MCH-51001,178.68,LABOR,2026-07-01 08:58:12
387,387,WO-JUL-01,MCH-51001,92.15,BURDEN,2026-07-01 08:58:12
388,388,WO-JUL-02,MCH-51002,185.08,LABOR,2026-07-01 09:00:00
389,389,WO-JUL-02,MCH-51002,95.0,BURDEN,2026-07-01 09:00:00
390,390,WO-JUL-03,MCH-51003,203.68,LABOR,2026-07-01 09:06:00
391,391,WO-JUL-03,MCH-51003,104.5,BURDEN,2026-07-01 09:06:00
392,392,WO-JUL-04,MCH-51004,214.03,LABOR,2026-07-01 09:09:36
393,393,WO-JUL-04,MCH-51004,110.2,BURDEN,2026-07-01 09:09:36
394,394,WO-JUL-05,MCH-51005,223.75,LABOR,2026-07-01 09:12:36
395,395,WO-JUL-05,MCH-51005,114.95,BURDEN,2026-07-01 09:12:36
396,396,WO-JUL-06,MCH-51006,237.14,LABOR,2026-07-01 09:16:48
397,397,WO-JUL-06,MCH-51006,121.6,BURDEN,2026-07-01 09:16:48
398,398,WO-JUL-07,MCH-51007,236.36,LABOR,2026-07-01 09:16:48
399,399,WO-JUL-07,MCH-51007,121.6,BURDEN,2026-07-01 09:16:48
400,400,WO-JUL-08,MCH-51008,273.92,LABOR,2026-07-01 09:28:48
401,401,WO-JUL-08,MCH-51008,140.6,BURDEN,2026-07-01 09:28:48
402,402,WO-JUL-09,MCH-51009,292.66,LABOR,2026-07-02 09:34:48
403,403,WO-JUL-09,MCH-51009,150.1,BURDEN,2026-07-02 09:34:48
404,404,WO-JUL-10,MCH-51010,306.2,LABOR,2026-07-03 09:39:36
405,405,WO-JUL-10,MCH-51010,157.7,BURDEN,2026-07-03 09:39:36
406,406,WO-JUL-11,MCH-51011,293.51,LABOR,2026-07-04 09:35:24
407,407,WO-JUL-11,MCH-51011,151.05,BURDEN,2026-07-04 09:35:24
408,408,WO-JUL-12,MCH-51012,321.97,LABOR,2026-07-05 09:44:24
409,409,WO-JUL-12,MCH-51012,165.3,BURDEN,2026-07-05 09:44:24
410,410,WO-JUL-13,MCH-51013,317.0,LABOR,2026-07-06 09:42:36
411,411,WO-JUL-13,MCH-51013,162.45,BURDEN,2026-07-06 09:42:36
412,412,WO-JUL-14,MCH-51014,341.38,LABOR,2026-07-07 09:51:00
413,413,WO-JUL-14,MCH-51014,175.75,BURDEN,2026-07-07 09:51:00
414,414,WO-JUL-15,MCH-51015,344.27,LABOR,2026-07-08 09:51:36
415,415,WO-JUL-15,MCH-51015,176.7,BURDEN,2026-07-08 09:51:36
416,416,WO-JUL-16,MCH-51016,365.19,LABOR,2026-07-09 09:58:12
417,417,WO-JUL-16,MCH-51016,187.15,BURDEN,2026-07-09 09:58:12
418,418,WO-JUL-17,MCH-51017,388.78,LABOR,2026-07-10 10:06:00
419,419,WO-JUL-17,MCH-51017,199.5,BURDEN,2026-07-10 10:06:00
420,420,WO-JUL-18,MCH-51018,359.88,LABOR,2026-07-11 09:57:00
421,421,WO-JUL-18,MCH-51018,185.25,BURDEN,2026-07-11 09:57:00
422,422,WO-JUL-19,MCH-51019,429.87,LABOR,2026-07-12 10:19:12
423,423,WO-JUL-19,MCH-51019,220.4,BURDEN,2026-07-12 10:19:12
424,424,WO-JUL-20,MCH-51020,432.98,LABOR,2026-07-13 10:20:24
425,425,WO-JUL-20,MCH-51020,222.3,BURDEN,2026-07-13 10:20:24
426,426,WO-JUL-21,MCH-51021,417.4,LABOR,2026-07-14 10:15:36
427,427,WO-JUL-21,MCH-51021,214.7,BURDEN,2026-07-14 10:15:36
428,428,WO-JUL-22,MCH-51022,394.99,LABOR,2026-07-15 10:08:24
429,429,WO-JUL-22,MCH-51022,203.3,BURDEN,2026-07-15 10:08:24
430,430,WO-JUL-23,MCH-51023,472.88,LABOR,2026-07-16 10:33:36
431,431,WO-JUL-23,MCH-51023,243.2,BURDEN,2026-07-16 10:33:36
432,432,WO-JUL-24,MCH-51024,428.34,LABOR,2026-07-17 10:19:12
433,433,WO-JUL-24,MCH-51024,220.4,BURDEN,2026-07-17 10:19:12
434,434,WO-JUL-25,MCH-51025,464.9,LABOR,2026-07-18 10:30:36
435,435,WO-JUL-25,MCH-51025,238.45,BURDEN,2026-07-18 10:30:36
436,436,WO-JUL-26,MCH-51001,462.27,LABOR,2026-07-19 10:30:00
437,437,WO-JUL-26,MCH-51001,237.5,BURDEN,2026-07-19 10:30:00
438,438,WO-JUL-27,MCH-51002,506.48,LABOR,2026-07-20 10:44:24
439,439,WO-JUL-27,MCH-51002,260.3,BURDEN,2026-07-20 10:44:24
440,440,WO-JUL-28,MCH-51003,510.28,LABOR,2026-07-21 10:45:36
441,441,WO-JUL-28,MCH-51003,262.2,BURDEN,2026-07-21 10:45:36
442,442,WO-JUL-29,MCH-51004,483.94,LABOR,2026-07-22 10:37:12
443,443,WO-JUL-29,MCH-51004,248.9,BURDEN,2026-07-22 10:37:12
444,444,WO-JUL-30,MCH-51005,483.12,LABOR,2026-07-23 10:36:36
445,445,WO-JUL-30,MCH-51005,247.95,BURDEN,2026-07-23 10:36:36
446,446,WO-JUL-31,MCH-51006,525.46,LABOR,2026-07-24 10:50:24
447,447,WO-JUL-31,MCH-51006,269.8,BURDEN,2026-07-24 10:50:24
448,448,WO-JUL-01,MCH-51001,-3121.51,FG_COMPLETION,2026-07-01
449,449,WO-JUL-02,MCH-51002,-3312.58,FG_COMPLETION,2026-07-02
450,450,WO-JUL-03,MCH-51003,-624.08,FG_COMPLETION,2026-07-03
451,451,WO-JUL-04,MCH-51004,-2956.19,FG_COMPLETION,2026-07-04
452,452,WO-JUL-05,MCH-51005,-941.54,FG_COMPLETION,2026-07-05
453,453,WO-JUL-06,MCH-51006,-1674.64,FG_COMPLETION,2026-07-06
454,454,WO-JUL-07,MCH-51007,-2408.34,FG_COMPLETION,2026-07-07
455,455,WO-JUL-08,MCH-51008,-2069.08,FG_COMPLETION,2026-07-08
456,456,WO-JUL-09,MCH-51009,-2857.28,FG_COMPLETION,2026-07-09
457,457,WO-JUL-10,MCH-51010,-1132.95,FG_COMPLETION,2026-07-10
458,458,WO-JUL-11,MCH-51011,-1536.44,FG_COMPLETION,2026-07-11
459,459,WO-JUL-12,MCH-51012,-2489.32,FG_COMPLETION,2026-07-12
460,460,WO-JUL-13,MCH-51013,-3920.57,FG_COMPLETION,2026-07-13
461,461,WO-JUL-14,MCH-51014,-1779.18,FG_COMPLETION,2026-07-14
462,462,WO-JUL-15,MCH-51015,-4716.77,FG_COMPLETION,2026-07-15
