dist_id,in_trans_id,out_trans_id,dist_qty,created_at
1,22,3,0.96,2026-07-05 10:36:28
2,22,2,1.24,2026-07-05 10:36:28
3,22,1,1.47,2026-07-05 10:36:28
4,23,6,32.03,2026-07-05 10:36:28
5,23,5,32.19,2026-07-05 10:36:28
6,24,7,2.57,2026-07-05 10:36:28
7,25,8,0.88,2026-07-05 10:36:28
8,25,9,1.22,2026-07-05 10:36:28
9,25,10,1.43,2026-07-05 10:36:28
10,26,15,2.36,2026-07-05 10:36:28
11,27,16,2.68,2026-07-05 10:36:28
12,28,19,4.42,2026-07-05 10:36:28
13,28,18,5.26,2026-07-05 10:36:28
14,28,17,5.84,2026-07-05 10:36:28
