transaction_id,class,type,part_id,wo_id,po_id,site_id,quantity,trans_date,created_at
1,R,I,P-10037,,PO-000001,SITE-2,8.3,2025-01-04,2026-09-21 14:37:59
2,R,I,P-10014,,PO-000001,SITE-1,0.7,2024-06-07,2026-09-21 14:37:59
3,R,I,P-10021,,PO-000001,SITE-3,1.0,2025-07-04,2026-09-21 14:37:59
4,R,I,P-10027,,PO-000003,SITE-2,0.8,2024-12-31,2026-09-21 14:37:59
5,R,I,P-10038,,PO-000005,SITE-3,0.8,2025-08-21,2026-09-21 14:37:59
6,R,I,P-10039,,PO-000005,SITE-2,14.9,2025-12-12,2026-09-21 14:37:59
7,R,I,P-10033,,PO-000010,SITE-1,83.9,2024-07-28,2026-09-21 14:37:59
8,R,I,C-20004,,PO-000010,SITE-2,78.5,2025-03-22,2026-09-21 14:37:59
9,R,I,P-10018,,PO-000010,SITE-2,91.7,2024-12-08,2026-09-21 14:37:59
10,R,I,P-10014,,PO-000011,SITE-2,60.5,2025-09-16,2026-09-21 14:37:59
11,R,I,P-10019,,PO-000011,SITE-2,82.7,2025-05-22,2026-09-21 14:37:59
12,R,I,P-10031,,PO-000011,SITE-2,3.6,2024-09-06,2026-09-21 14:37:59
13,R,I,P-10020,,PO-000011,SITE-3,1.5,2024-07-23,2026-09-21 14:37:59
14,R,I,P-10030,,PO-000012,SITE-1,2.7,2025-07-12,2026-09-21 14:37:59
15,R,I,P-10027,,PO-000012,SITE-1,81.6,2025-01-09,2026-09-21 14:37:59
16,R,I,P-10031,,PO-000014,SITE-2,45.5,2024-09-28,2026-09-21 14:37:59
17,R,I,P-10033,,PO-000014,SITE-2,16.4,2024-08-22,2026-09-21 14:37:59
18,R,I,P-10016,,PO-000014,SITE-3,5.1,2024-10-08,2026-09-21 14:37:59
19,R,I,P-10019,,PO-000014,SITE-2,4.0,2024-04-15,2026-09-21 14:37:59
20,R,I,P-10013,,PO-000015,SITE-2,17.7,2025-11-06,2026-09-21 14:37:59
21,R,I,P-10038,,PO-000015,SITE-3,29.9,2025-02-28,2026-09-21 14:37:59
22,R,I,C-20004,,PO-000015,SITE-2,35.0,2024-07-01,2026-09-21 14:37:59
23,R,I,P-10031,,PO-000015,SITE-3,8.4,2024-05-20,2026-09-21 14:37:59
24,I,O,P-10016,WO-00001,,SITE-1,1.07,2024-06-05,2026-09-21 14:37:59
25,I,O,P-10018,WO-00003,,SITE-1,4.72,2025-03-01,2026-09-21 14:37:59
26,I,O,P-10018,WO-00004,,SITE-1,33.47,2025-12-13,2026-09-21 14:37:59
27,I,O,P-10018,WO-00005,,SITE-1,2.92,2024-11-01,2026-09-21 14:37:59
28,I,O,P-10018,WO-00005,,SITE-1,2.63,2025-09-09,2026-09-21 14:37:59
29,I,O,P-10018,WO-00005,,SITE-1,2.21,2024-01-30,2026-09-21 14:37:59
30,I,O,P-10018,WO-00006,,SITE-1,1.39,2024-05-10,2026-09-21 14:37:59
31,I,O,P-10034,WO-00006,,SITE-1,1.08,2025-07-31,2026-09-21 14:37:59
32,I,O,P-10018,WO-00009,,SITE-1,5.62,2024-02-21,2026-09-21 14:37:59
33,I,O,P-10017,WO-00010,,SITE-1,2.06,2025-01-23,2026-09-21 14:37:59
34,I,O,P-10018,WO-00010,,SITE-1,1.71,2024-01-20,2026-09-21 14:37:59
35,I,O,P-10017,WO-00011,,SITE-1,1.7,2025-10-29,2026-09-21 14:37:59
36,I,O,P-10016,WO-00013,,SITE-1,1.63,2024-06-05,2026-09-21 14:37:59
37,I,O,P-10018,WO-00014,,SITE-1,4.78,2024-08-11,2026-09-21 14:37:59
38,I,O,P-10017,WO-00015,,SITE-1,0.92,2025-09-13,2026-09-21 14:37:59
39,I,O,P-10016,WO-00015,,SITE-1,0.88,2024-01-27,2026-09-21 14:37:59
40,I,O,P-10034,WO-00015,,SITE-1,1.47,2025-02-10,2026-09-21 14:37:59
41,R,I,P-10025,WO-00001,,SITE-1,1.0,2025-07-19,2026-09-21 14:37:59
42,R,I,P-10025,WO-00004,,SITE-1,25.0,2025-04-29,2026-09-21 14:37:59
43,R,I,P-10012,WO-00005,,SITE-1,2.0,2026-01-21,2026-09-21 14:37:59
44,R,I,P-10011,WO-00006,,SITE-1,1.0,2024-04-13,2026-09-21 14:37:59
45,R,I,P-10011,WO-00011,,SITE-1,2.0,2025-04-28,2026-09-21 14:37:59
46,R,I,P-10036,WO-00013,,SITE-1,2.0,2025-04-19,2026-09-21 14:37:59
47,R,I,P-10024,WO-00014,,SITE-1,4.0,2025-04-01,2026-09-21 14:37:59
48,A,I,P-10039,,,SITE-1,8.5,2024-11-27,2026-09-21 14:37:59
49,A,I,P-10035,,,SITE-3,20.8,2024-01-02,2026-09-21 14:37:59
50,A,O,P-10036,,,SITE-1,5.5,2025-01-05,2026-09-21 14:37:59
51,A,O,P-10038,,,SITE-1,5.9,2025-07-16,2026-09-21 14:37:59
52,A,I,P-10028,,,SITE-2,22.1,2025-05-11,2026-09-21 14:37:59
53,A,I,P-10011,,,SITE-3,15.6,2024-09-02,2026-09-21 14:37:59
54,A,I,P-10029,,,SITE-3,1.3,2025-02-21,2026-09-21 14:37:59
55,A,I,P-10024,,,SITE-1,12.1,2024-04-30,2026-09-21 14:37:59
56,A,I,C-20001,,,SITE-3,8.0,2025-12-23,2026-09-21 14:37:59
57,A,O,P-10036,,,SITE-2,24.5,2024-09-06,2026-09-21 14:37:59
58,A,O,P-10019,,,SITE-2,5.6,2025-09-05,2026-09-21 14:37:59
59,A,I,P-10014,,,SITE-2,19.5,2025-02-28,2026-09-21 14:37:59
60,A,O,C-20002,,,SITE-2,20.7,2024-10-16,2026-09-21 14:37:59
