ticket_id,wo_id,sequence_no,employee_id,resource_id,clock_in,clock_out,total_hours,labor_cost,burden_cost,created_at
1,WO-00001,30,EMP-006,MC-001,2025-06-27 08:00:00,2025-06-27 08:09:00,0.15,28.55,14.25,2025-06-27 08:09:00
2,WO-00001,110,EMP-012,MC-007,2025-07-03 08:00:00,2025-07-03 08:09:00,0.15,14.28,7.2,2025-07-03 08:09:00
3,WO-00001,230,EMP-004,LB-004,2025-07-11 08:00:00,2025-07-11 08:15:36,0.26,14.27,7.15,2025-07-11 08:15:36
4,WO-00003,10,EMP-005,LB-005,2025-06-29 08:00:00,2025-06-29 08:58:48,0.98,56.94,28.42,2025-06-29 08:58:48
5,WO-00003,330,EMP-007,MC-002,2025-10-09 08:00:00,2025-10-09 08:08:24,0.14,28.47,14.7,2025-10-09 08:08:24
6,WO-00003,390,EMP-004,LB-004,2025-11-11 08:00:00,2025-11-11 08:15:36,0.26,14.24,7.15,2025-11-11 08:15:36
7,WO-00004,20,EMP-005,LB-005,2025-03-09 08:00:00,2025-03-09 08:54:00,0.9,52.27,26.1,2025-03-09 08:54:00
8,WO-00004,180,EMP-007,MC-002,2025-04-06 08:00:00,2025-04-06 08:07:12,0.12,26.14,12.6,2025-04-06 08:07:12
9,WO-00004,220,EMP-004,LB-004,2025-04-13 08:00:00,2025-04-13 08:14:24,0.24,13.07,6.6,2025-04-13 08:14:24
10,WO-00005,20,EMP-006,MC-001,2025-11-18 08:00:00,2025-11-18 08:08:24,0.14,25.54,13.3,2025-11-18 08:08:24
11,WO-00005,100,EMP-012,MC-007,2025-12-02 08:00:00,2025-12-02 08:07:48,0.13,12.77,6.24,2025-12-02 08:07:48
12,WO-00005,200,EMP-004,LB-004,2025-12-26 08:00:00,2025-12-26 08:13:48,0.23,12.76,6.33,2025-12-26 08:13:48
13,WO-00006,30,EMP-005,LB-005,2024-01-22 08:00:00,2024-01-22 08:57:36,0.96,55.58,27.84,2024-01-22 08:57:36
