issue_id,wo_id,part_id,part_description,quantity,unit_cost,total_cost,issue_date,issued_by,created_at
1,WO-00001,P-10016,Ti-6Al-4V Bar Stock 1.5 dia,1.07,139.94,149.74,2024-06-05,EMP-007,2026-09-21 14:37:59
2,WO-00003,P-10018,304 SS Sheet 0.050 thick,4.72,12.38,58.43,2025-03-01,EMP-002,2026-09-21 14:37:59
3,WO-00004,P-10018,304 SS Sheet 0.050 thick,33.47,12.36,413.69,2025-12-13,EMP-001,2026-09-21 14:37:59
4,WO-00005,P-10018,304 SS Sheet 0.050 thick,2.92,12.47,36.41,2024-11-01,EMP-013,2026-09-21 14:37:59
5,WO-00005,P-10018,304 SS Sheet 0.050 thick,2.63,12.55,33.01,2025-09-09,EMP-008,2026-09-21 14:37:59
6,WO-00005,P-10018,304 SS Sheet 0.050 thick,2.21,12.15,26.85,2024-01-30,EMP-013,2026-09-21 14:37:59
7,WO-00006,P-10018,304 SS Sheet 0.050 thick,1.39,12.78,17.76,2024-05-10,EMP-020,2026-09-21 14:37:59
8,WO-00006,P-10034,Titanium Sheet 0.032 thick,1.08,185.78,200.64,2025-07-31,EMP-001,2026-09-21 14:37:59
9,WO-00009,P-10018,304 SS Sheet 0.050 thick,5.62,12.04,67.66,2024-02-21,EMP-009,2026-09-21 14:37:59
10,WO-00010,P-10017,Inconel Bar Stock 1.0 dia,2.06,203.94,420.12,2025-01-23,EMP-009,2026-09-21 14:37:59
11,WO-00010,P-10018,304 SS Sheet 0.050 thick,1.71,12.19,20.84,2024-01-20,EMP-018,2026-09-21 14:37:59
12,WO-00011,P-10017,Inconel Bar Stock 1.0 dia,1.7,204.21,347.16,2025-10-29,EMP-002,2026-09-21 14:37:59
13,WO-00013,P-10016,Ti-6Al-4V Bar Stock 1.5 dia,1.63,140.64,229.24,2024-06-05,EMP-008,2026-09-21 14:37:59
14,WO-00014,P-10018,304 SS Sheet 0.050 thick,4.78,12.71,60.75,2024-08-11,EMP-015,2026-09-21 14:37:59
15,WO-00015,P-10017,Inconel Bar Stock 1.0 dia,0.92,215.6,198.35,2025-09-13,EMP-004,2026-09-21 14:37:59
16,WO-00015,P-10016,Ti-6Al-4V Bar Stock 1.5 dia,0.88,151.74,133.53,2024-01-27,EMP-010,2026-09-21 14:37:59
17,WO-00015,P-10034,Titanium Sheet 0.032 thick,1.47,198.46,291.74,2025-02-10,EMP-007,2026-09-21 14:37:59
18,WO-JUL-01,RMT-54001,"Aluminum Extrusion, Fwd Fuselage",4.0,712.67,2850.68,2026-07-01,EMP-001,2026-09-21 14:38:01
19,WO-JUL-02,RMT-54002,"Inconel Rod, Wing Station 42",5.0,606.5,3032.5,2026-07-01,EMP-001,2026-09-21 14:38:01
20,WO-JUL-03,RMT-54003,"Aluminum Extrusion, Flap Track",6.0,52.65,315.9,2026-07-01,EMP-001,2026-09-21 14:38:01
21,WO-JUL-04,RMT-54004,"Aluminum Plate, Nacelle Assy",3.0,877.32,2631.96,2026-07-01,EMP-001,2026-09-21 14:38:01
22,WO-JUL-05,RMT-54005,"Stainless Bar, Empennage",4.0,150.71,602.84,2026-07-01,EMP-001,2026-09-21 14:38:01
23,WO-JUL-06,RMT-54006,"Inconel Rod, Center Wing Box",5.0,263.18,1315.9,2026-07-01,EMP-001,2026-09-21 14:38:01
24,WO-JUL-07,RMT-54007,"Titanium Sheet, Aft Pylon",6.0,341.73,2050.38,2026-07-01,EMP-001,2026-09-21 14:38:01
25,WO-JUL-08,RMT-54008,"Steel Tube, MLG Bay",3.0,551.52,1654.56,2026-07-01,EMP-001,2026-09-21 14:38:01
26,WO-JUL-09,RMT-54009,"Stainless Bar, Fwd Fuselage",4.0,603.63,2414.52,2026-07-02,EMP-001,2026-09-21 14:38:01
27,WO-JUL-10,RMT-54010,"Titanium Sheet, Aft Pylon",5.0,133.81,669.05,2026-07-03,EMP-001,2026-09-21 14:38:01
28,WO-JUL-11,RMT-54011,"Steel Tube, Center Wing Box",6.0,181.98,1091.88,2026-07-04,EMP-001,2026-09-21 14:38:01
29,WO-JUL-12,RMT-54012,"Stainless Bar, Empennage",3.0,667.35,2002.05,2026-07-05,EMP-001,2026-09-21 14:38:01
30,WO-JUL-13,RMT-54013,"Steel Tube, Nacelle Assy",4.0,860.28,3441.12,2026-07-06,EMP-001,2026-09-21 14:38:01
31,WO-JUL-14,RMT-54014,"Stainless Bar, Flap Track",5.0,252.41,1262.05,2026-07-07,EMP-001,2026-09-21 14:38:01
32,WO-JUL-15,RMT-54015,"Steel Tube, Wing Station 42",6.0,699.3,4195.8,2026-07-08,EMP-001,2026-09-21 14:38:01
33,WO-JUL-16,RMT-54001,"Aluminum Extrusion, Fwd Fuselage",3.0,712.67,2138.01,2026-07-09,EMP-001,2026-09-21 14:38:01
34,WO-JUL-17,RMT-54002,"Inconel Rod, Wing Station 42",4.0,606.5,2426.0,2026-07-10,EMP-001,2026-09-21 14:38:01
35,WO-JUL-18,RMT-54003,"Aluminum Extrusion, Flap Track",5.0,52.65,263.25,2026-07-11,EMP-001,2026-09-21 14:38:01
36,WO-JUL-19,RMT-54004,"Aluminum Plate, Nacelle Assy",6.0,877.32,5263.92,2026-07-12,EMP-001,2026-09-21 14:38:01
37,WO-JUL-20,RMT-54005,"Stainless Bar, Empennage",3.0,150.71,452.13,2026-07-13,EMP-001,2026-09-21 14:38:01
38,WO-JUL-21,RMT-54006,"Inconel Rod, Center Wing Box",4.0,263.18,1052.72,2026-07-14,EMP-001,2026-09-21 14:38:01
39,WO-JUL-22,RMT-54007,"Titanium Sheet, Aft Pylon",5.0,341.73,1708.65,2026-07-15,EMP-001,2026-09-21 14:38:01
40,WO-JUL-23,RMT-54008,"Steel Tube, MLG Bay",6.0,551.52,3309.12,2026-07-16,EMP-001,2026-09-21 14:38:01
41,WO-JUL-24,RMT-54009,"Stainless Bar, Fwd Fuselage",3.0,603.63,1810.89,2026-07-17,EMP-001,2026-09-21 14:38:01
42,WO-JUL-25,RMT-54010,"Titanium Sheet, Aft Pylon",4.0,133.81,535.24,2026-07-18,EMP-001,2026-09-21 14:38:01
43,WO-JUL-26,RMT-54011,"Steel Tube, Center Wing Box",5.0,181.98,909.9,2026-07-19,EMP-001,2026-09-21 14:38:01
44,WO-JUL-27,RMT-54012,"Stainless Bar, Empennage",6.0,667.35,4004.1,2026-07-20,EMP-001,2026-09-21 14:38:01
45,WO-JUL-28,RMT-54013,"Steel Tube, Nacelle Assy",3.0,860.28,2580.84,2026-07-21,EMP-001,2026-09-21 14:38:01
46,WO-JUL-29,RMT-54014,"Stainless Bar, Flap Track",4.0,252.41,1009.64,2026-07-22,EMP-001,2026-09-21 14:38:01
47,WO-JUL-30,RMT-54015,"Steel Tube, Wing Station 42",5.0,699.3,3496.5,2026-07-23,EMP-001,2026-09-21 14:38:01
48,WO-JUL-31,RMT-54001,"Aluminum Extrusion, Fwd Fuselage",6.0,712.67,4276.02,2026-07-24,EMP-001,2026-09-21 14:38:01
