rowid_pk,wo_id,workorder_type,sequence_no,resource_id,service_id,vendor_id,run_type,setup_hrs,run_hrs,act_setup_hrs,act_run_hrs,est_atl_lab_cost,est_atl_bur_cost,est_atl_ser_cost,act_atl_lab_cost,act_atl_bur_cost,act_atl_ser_cost,status,sched_start_date,sched_finish_date,service_begin_date,close_date,last_disp_date,last_recv_date,operation_type_id
5,WO-00002,W,10,MC-001,,,HR,0.5,2.5,0.0,0.0,26.0,130.0,0.0,0.0,0.0,0.0,Q,2024-11-10,2024-11-11,,,,,CNC
6,WO-00002,W,50,MC-007,,,HR,0.25,1.0,0.0,0.0,13.0,52.0,0.0,0.0,0.0,0.0,Q,2024-11-11,2024-11-12,,,,,INSPECT
7,WO-00002,W,70,SV-001,ANODIZE-II,S-011,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q,2024-11-12,2024-11-13,,,,,ANOD
8,WO-00002,W,90,LB-004,,,HR,0.25,0.5,0.0,0.0,13.0,26.0,0.0,0.0,0.0,0.0,Q,2024-11-13,2024-11-14,,,,,INSPECT
9,WO-00003,M,10,LB-005,,,HR,1.0,4.0,0.0,0.0,52.0,208.0,0.0,56.94,28.42,0.0,C,2025-06-29,2025-08-02,,2025-08-02,,,WELD
10,WO-00003,M,130,SV-002,SVC-HT-SOLN,S-004,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,2025-08-02,2025-09-04,,2025-09-04,,,HTRT
11,WO-00003,M,210,SV-003,NDT-UT,S-011,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1170.0,C,2025-09-06,2025-10-07,,2025-10-07,,,NDT
12,WO-00003,M,330,MC-002,,,HR,0.5,1.5,0.0,0.0,26.0,78.0,0.0,28.47,14.7,0.0,C,2025-10-09,2025-11-10,,2025-11-10,,,TURN
13,WO-00003,M,390,LB-004,,,HR,0.25,0.5,0.0,0.0,13.0,26.0,0.0,14.24,7.15,0.0,C,2025-11-11,2025-12-14,,2025-12-14,,,INSPECT
19,WO-00005,M,20,MC-001,,,HR,0.5,2.5,0.0,0.0,26.0,130.0,0.0,25.54,13.3,0.0,C,2025-11-18,2025-12-01,,2025-12-01,,,CNC
20,WO-00005,M,100,MC-007,,,HR,0.25,1.0,0.0,0.0,13.0,52.0,0.0,12.77,6.24,0.0,C,2025-12-02,2025-12-14,,2025-12-14,,,INSPECT
21,WO-00005,M,140,SV-001,SVC-ANODIZE,S-015,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,2025-12-15,2025-12-26,,2025-12-26,,,ANOD
22,WO-00005,M,200,LB-004,,,HR,0.25,0.5,0.0,0.0,13.0,26.0,0.0,12.76,6.33,0.0,C,2025-12-26,2026-01-08,,2026-01-08,,,INSPECT
33,WO-00008,M,20,MC-005,,,HR,0.1,0.25,0.0,0.0,5.2,13.0,0.0,5.29,2.88,0.0,C,2025-11-16,2025-12-07,,2025-12-07,,,TURN
34,WO-00008,M,100,LB-004,,,HR,0.1,0.2,0.0,0.0,5.2,10.4,0.0,5.3,2.75,0.0,C,2025-12-08,2025-12-29,,2025-12-29,,,INSPECT
35,WO-00009,M,20,MC-003,,,HR,1.0,5.0,0.0,0.0,52.0,260.0,0.0,56.12,29.0,0.0,C,2025-02-20,2025-04-17,,2025-04-17,,,CNC
36,WO-00009,M,60,LB-003,,,HR,2.0,8.0,0.0,0.0,104.0,416.0,0.0,112.24,56.16,0.0,C,2025-04-18,2025-06-12,,2025-06-12,,,ASSY
37,WO-00009,M,140,SV-001,SVC-ANODIZE,S-013,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,2025-06-12,2025-08-07,,2025-08-07,,,ANOD
38,WO-00009,M,220,SV-004,SVC-CHEM-FILM,S-004,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,2025-08-08,2025-10-01,,2025-10-01,,,CHEM
39,WO-00009,M,300,LB-004,,,HR,0.5,1.0,0.0,0.0,26.0,52.0,0.0,28.06,14.03,0.0,C,2025-10-02,2025-11-26,,2025-11-26,,,INSPECT
40,WO-00010,M,30,MC-001,,,HR,0.5,2.5,0.0,0.0,26.0,130.0,0.0,27.2,14.25,0.0,C,2024-02-25,2024-07-13,,2024-07-13,,,CNC
41,WO-00010,M,70,MC-007,,,HR,0.25,1.0,0.0,0.0,13.0,52.0,0.0,13.6,6.72,0.0,C,2024-07-15,2024-11-29,,2024-11-29,,,INSPECT
42,WO-00010,M,130,SV-001,SVC-ANODIZE,S-013,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,2024-11-29,2025-04-18,,2025-04-18,,,ANOD
