part_id,part_description,part_class,unit_of_measure,unit_cost,lead_time_days,reorder_point,on_hand_qty,revision,cage_code,drawing_number,material_spec,planner_code,buyer_code,safety_stock,active,created_at,commodity_code
P-10010,Titanium Bulkhead Frame 6Al-4V,MAKE,EA,4250.0,45,4467.18,62.0,A,59012,DWG-10010-A,AMS 4928,ENGINEERING,,1.0,1,2026-09-21 14:37:59,MACHINED-DETAIL
P-10011,Aluminum Rib Assembly 7075-T6,MAKE,EA,1875.0,30,4494.41,20.2,A,1HHH9,DWG-10011-A,AMS 2770,ENGINEERING,,1.0,1,2026-09-21 14:37:59,ASSEMBLY
P-10012,Stainless Steel Bracket 304 SS,MAKE,EA,320.0,14,432.2,19.8,A,59012,DWG-10012-A,ASTM A240,ENGINEERING,,1.0,1,2026-09-21 14:37:59,MACHINED-DETAIL
P-10013,Carbon Fiber Panel 0.063 thick,BUY,EA,2100.0,60,1586.6,41.1,A,K0579,DWG-10013-A,BMS 8-276,ENGINEERING,BUYER-2,1.0,1,2026-09-21 14:37:59,COMPOSITE
P-10014,Inconel 718 Turbine Blade Blank,BUY,EA,6800.0,90,17807.4,38.4,A,K0579,DWG-10014-A,AMS 5663,ENGINEERING,BUYER-9,1.0,1,2026-09-21 14:37:59,PURCHASED-COMPONENT
P-10015,Aluminum Extrusion 6061-T6 2x2,RAW,FT,18.5,10,43.0,55.9,A,1HHH9,,AMS 2770,ENGINEERING,,1.0,1,2026-09-21 14:37:59,RAW-METAL
P-10016,Ti-6Al-4V Bar Stock 1.5 dia,RAW,FT,145.0,21,101.07,32.9,A,59012,,AMS 4928,ENGINEERING,BUYER-9,1.0,1,2026-09-21 14:37:59,RAW-METAL
P-10017,Inconel Bar Stock 1.0 dia,RAW,FT,210.0,35,408.11,71.9,A,K0579,,AMS 5663,ENGINEERING,,1.0,1,2026-09-21 14:37:59,RAW-METAL
P-10018,304 SS Sheet 0.050 thick,RAW,LB,12.5,7,26.91,78.4,A,1HHH9,,ASTM A240,ENGINEERING,BUYER-1,1.0,1,2026-09-21 14:37:59,RAW-METAL
P-10019,MS35337 Washer Flat,HARDWARE,EA,0.08,3,0.21,87.3,A,32499,,MS35337,ENGINEERING,BUYER-9,1.0,1,2026-09-21 14:37:59,HARDWARE
P-10020,NAS1149 Washer Hi-Strength,HARDWARE,EA,0.45,5,0.54,65.4,A,59012,,NAS1149,ENGINEERING,BUYER-9,1.0,1,2026-09-21 14:37:59,HARDWARE
P-10021,AN3-5A Bolt 10-32x5/16,HARDWARE,EA,0.35,3,0.32,38.8,A,K0579,,AN SPEC,ENGINEERING,BUYER-1,1.0,1,2026-09-21 14:37:59,HARDWARE
P-10022,MS21042 Nut Self-Locking,HARDWARE,EA,0.55,3,1.24,69.9,A,F3234,,MS21042,ENGINEERING,,1.0,1,2026-09-21 14:37:59,HARDWARE
P-10023,Hi-Lok HL10-8-10 Fastener,HARDWARE,EA,2.2,7,4.45,21.3,A,32499,,HL SPEC,ENGINEERING,,1.0,1,2026-09-21 14:37:59,HARDWARE
P-10024,Machined Housing — Fuel Control,MAKE,EA,8500.0,60,7722.3,30.0,A,CAGE1,DWG-10024-A,AMS 4894,ENGINEERING,,1.0,1,2026-09-21 14:37:59,MACHINED-DETAIL
P-10025,Actuator Bracket Assembly,MAKE,EA,950.0,21,2100.96,87.1,A,CAGE1,DWG-10025-A,AMS 2770,ENGINEERING,,1.0,1,2026-09-21 14:37:59,ASSEMBLY
P-10026,Weldment — Thrust Reverser Link,MAKE,EA,3200.0,45,3432.38,8.0,A,1HHH9,DWG-10026-A,AMS 5510,ENGINEERING,,1.0,1,2026-09-21 14:37:59,MACHINED-DETAIL
P-10027,Anodize — Type II Alodine Coated,OUTSIDE_SERVICE,EA,85.0,5,109.53,30.4,A,,,,ENGINEERING,BUYER-5,1.0,1,2026-09-21 14:37:59,OSP-FINISHING
P-10028,Heat Treat — Solution + Age 6061,OUTSIDE_SERVICE,EA,45.0,3,46.24,94.6,A,,,AMS 2770,ENGINEERING,,1.0,1,2026-09-21 14:37:59,OSP-THERMAL
P-10029,NDT Inspection — Fluorescent Penetrant,OUTSIDE_SERVICE,EA,65.0,2,174.91,34.9,A,,,AMS 2647,ENGINEERING,,1.0,1,2026-09-21 14:37:59,OSP-NDT
P-10030,Chemical Film — Alodine 1200,OUTSIDE_SERVICE,EA,35.0,3,74.85,42.6,A,,,MIL-DTL-5541,ENGINEERING,BUYER-1,1.0,1,2026-09-21 14:37:59,OSP-FINISHING
P-10031,Seal Assembly — Hydraulic 3000PSI,BUY,EA,280.0,14,240.01,18.3,A,28143,DWG-10031-A,MS28774,ENGINEERING,BUYER-9,1.0,1,2026-09-21 14:37:59,SEAL
P-10032,Bearing — Angular Contact 25mm,BUY,EA,185.0,21,437.99,45.7,A,F3234,DWG-10032-A,ABMA 20,ENGINEERING,,1.0,1,2026-09-21 14:37:59,BEARING
P-10033,O-Ring AS568-214,HARDWARE,EA,1.2,3,1.69,99.7,A,59012,,AS568,ENGINEERING,BUYER-2,1.0,1,2026-09-21 14:37:59,HARDWARE
P-10034,Titanium Sheet 0.032 thick,RAW,LB,195.0,28,345.89,13.6,A,75272,,AMS 4901,ENGINEERING,BUYER-8,1.0,1,2026-09-21 14:37:59,RAW-METAL
P-10035,Kevlar Honeycomb Panel 1/4 cell,BUY,EA,1350.0,45,3581.22,19.5,A,1HHH9,DWG-10035-A,BMS 4-17,ENGINEERING,,1.0,1,2026-09-21 14:37:59,PURCHASED-COMPONENT
P-10036,Machined Spar Cap Al 7075,MAKE,EA,2800.0,35,6944.56,50.1,A,75272,DWG-10036-A,AMS 2770,ENGINEERING,,1.0,1,2026-09-21 14:37:59,MACHINED-DETAIL
P-10037,Composite Fuselage Skin Section,BUY,EA,9200.0,90,13449.65,37.6,A,32499,DWG-10037-A,BMS 8-79,ENGINEERING,BUYER-9,1.0,1,2026-09-21 14:37:59,COMPOSITE
P-10038,Hydraulic Fitting AN816-4D,HARDWARE,EA,12.5,5,22.78,97.3,A,28143,,AN816,ENGINEERING,BUYER-2,1.0,1,2026-09-21 14:37:59,HARDWARE
P-10039,Aluminum Casting LM Bracket,BUY,EA,420.0,30,924.3,15.9,A,1HHH9,DWG-10039-A,ASTM B85,ENGINEERING,BUYER-4,1.0,1,2026-09-21 14:37:59,CASTING
P-10040,Electrical Harness — Avionics Bay,BUY,EA,3600.0,60,8717.39,37.3,A,F3234,DWG-10040-A,MIL-W-22759,ENGINEERING,,1.0,1,2026-09-21 14:37:59,ELECTRICAL
C-20001,Carbide End Mill 0.500 4FL TiAlN,BUY,EA,42.5,5,67.44,48.1,A,F3234,DWG-20001-A,ISO 1832,ENGINEERING,BUYER-8,1.0,1,2026-09-21 14:37:59,TOOLING
C-20002,Coolant Concentrate Semi-Synthetic 55 Gal,BUY,DR,780.0,7,2285.18,77.4,A,F3234,DWG-20002-A,MIL-PRF-680,ENGINEERING,BUYER-1,1.0,1,2026-09-21 14:37:59,SHOP-SUPPLY
C-20003,Abrasive Disc 120 Grit 5 in (50 Pack),BUY,PK,28.4,5,76.01,33.4,A,32499,DWG-20003-A,ANSI B74.18,ENGINEERING,,1.0,1,2026-09-21 14:37:59,SHOP-SUPPLY
C-20004,CMM Stylus Ruby 4mm M3,BUY,EA,96.0,10,84.68,77.4,A,CAGE1,DWG-20004-A,ISO 10360,ENGINEERING,BUYER-2,1.0,1,2026-09-21 14:37:59,TOOLING
PN-10010,"Titanium Hex Bolt AN3-10A, 3/8-24 UNF",MAKE,EA,2.85,7,2.0,200.0,A,1LNK7,DWG-10010-A,AN3-10A,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
PN-10020,"Hydraulic Line Fitting MS21902D6, AN-6",MAKE,EA,14.5,14,0.0,0.0,A,81205,DWG-10020-A,MS21902,ENGINEERING,,1.0,1,2026-09-21 14:38:00,MACHINED-DETAIL
