part_location_id,part_id,warehouse_id,location_id,description,qty,committed_qty,status,last_count_date,created_at
1,C-20001,WH-1A,STORES,Carbide End Mill 0.500 4FL TiAlN,48.1,0.0,A,2025-10-07,2026-07-05 10:36:29
2,C-20001,WH-2A,STORES,Carbide End Mill 0.500 4FL TiAlN,48.1,0.0,A,2025-05-24,2026-07-05 10:36:29
3,C-20001,WH-3A,STORES,Carbide End Mill 0.500 4FL TiAlN,48.1,0.0,A,2024-02-22,2026-07-05 10:36:29
4,C-20002,WH-3A,STORES,Coolant Concentrate Semi-Synthetic 55 Gal,4.5,0.0,A,2025-09-16,2026-07-05 10:36:29
5,C-20003,WH-3A,STORES,Abrasive Disc 120 Grit 5 in (50 Pack),33.4,0.0,A,2025-04-21,2026-07-05 10:36:29
6,C-20004,WH-1A,STORES,CMM Stylus Ruby 4mm M3,77.4,0.0,A,2024-09-17,2026-07-05 10:36:29
7,C-20004,WH-2A,STORES,CMM Stylus Ruby 4mm M3,77.4,0.0,A,2025-08-20,2026-07-05 10:36:29
8,P-10010,WH-2A,STORES,Titanium Bulkhead Frame 6Al-4V,61.0,0.0,A,2025-08-24,2026-07-05 10:36:29
9,P-10011,WH-1A,STORES,Aluminum Rib Assembly 7075-T6,1.0,0.0,A,2025-10-15,2026-07-05 10:36:29
10,P-10011,WH-2A,STORES,Aluminum Rib Assembly 7075-T6,20.2,0.0,A,2025-11-24,2026-07-05 10:36:29
11,P-10012,WH-1A,STORES,Stainless Steel Bracket 304 SS,2.0,0.0,A,2026-01-21,2026-07-05 10:36:29
12,P-10012,WH-3A,STORES,Stainless Steel Bracket 304 SS,19.8,0.0,A,2024-01-10,2026-07-05 10:36:29
13,P-10013,WH-3A,STORES,Carbon Fiber Panel 0.063 thick,41.1,0.0,A,2024-06-23,2026-07-05 10:36:29
14,P-10014,WH-1A,STORES,Inconel 718 Turbine Blade Blank,16.1,0.0,A,2024-10-21,2026-07-05 10:36:29
15,P-10015,WH-1A,STORES,Aluminum Extrusion 6061-T6 2x2,55.9,0.0,A,2024-04-26,2026-07-05 10:36:29
16,P-10015,WH-2A,STORES,Aluminum Extrusion 6061-T6 2x2,3.0,0.0,A,2025-10-10,2026-07-05 10:36:29
17,P-10015,WH-3A,STORES,Aluminum Extrusion 6061-T6 2x2,55.9,0.0,A,2025-03-18,2026-07-05 10:36:29
18,P-10016,WH-1A,STORES,Ti-6Al-4V Bar Stock 1.5 dia,32.9,0.0,A,2025-12-24,2026-07-05 10:36:29
19,P-10016,WH-2A,STORES,Ti-6Al-4V Bar Stock 1.5 dia,32.9,0.0,A,2025-04-12,2026-07-05 10:36:29
20,P-10017,WH-1A,STORES,Inconel Bar Stock 1.0 dia,71.9,0.0,A,2025-07-07,2026-07-05 10:36:29
21,P-10017,WH-3A,STORES,Inconel Bar Stock 1.0 dia,71.9,0.0,A,2025-05-25,2026-07-05 10:36:29
22,P-10018,WH-1A,STORES,304 SS Sheet 0.050 thick,78.4,0.0,A,2025-12-13,2026-07-05 10:36:29
23,P-10019,WH-1A,STORES,MS35337 Washer Flat,87.3,0.0,A,2025-08-02,2026-07-05 10:36:29
24,P-10019,WH-2A,STORES,MS35337 Washer Flat,87.3,0.0,A,2024-12-19,2026-07-05 10:36:29
25,P-10020,WH-2A,STORES,NAS1149 Washer Hi-Strength,25.1,0.0,A,2025-07-19,2026-07-05 10:36:29
26,P-10024,WH-1A,STORES,Machined Housing — Fuel Control,4.0,0.0,A,2025-04-01,2026-07-05 10:36:29
27,P-10024,WH-3A,STORES,Machined Housing — Fuel Control,41.0,0.0,A,2024-06-28,2026-07-05 10:36:29
