payable_line_id,invoice_id,line_no,po_id,part_id,qty,amount,created_at,po_line_id,receipt_line_id
1,1,1,PO-000001,P-10037,10.0,87420.6,2026-09-21 14:37:59,1,1
2,1,2,PO-000001,P-10014,1.0,6982.63,2026-09-21 14:37:59,2,2
3,1,3,PO-000001,P-10021,1.0,0.32,2026-09-21 14:37:59,3,3
4,2,1,PO-000003,P-10027,1.0,92.57,2026-09-21 14:37:59,6,4
5,3,1,PO-000005,P-10038,1.0,13.34,2026-09-21 14:37:59,7,5
6,3,2,PO-000005,P-10039,25.0,9761.0,2026-09-21 14:37:59,8,6
7,4,1,PO-000010,P-10033,100.0,124.0,2026-09-21 14:37:59,15,7
8,4,2,PO-000010,C-20004,100.0,9116.0,2026-09-21 14:37:59,16,8
9,4,3,PO-000010,P-10018,100.0,1300.0,2026-09-21 14:37:59,17,9
10,5,1,PO-000011,P-10014,100.0,676014.0,2026-09-21 14:37:59,18,10
11,5,2,PO-000011,P-10019,100.0,9.0,2026-09-21 14:37:59,19,11
12,5,3,PO-000011,P-10031,5.0,1489.75,2026-09-21 14:37:59,20,12
13,5,4,PO-000011,P-10020,2.0,0.82,2026-09-21 14:37:59,21,13
14,6,1,PO-000012,P-10030,5.0,167.25,2026-09-21 14:37:59,22,14
15,6,2,PO-000012,P-10027,100.0,8125.0,2026-09-21 14:37:59,23,15
16,7,1,PO-000014,P-10031,50.0,14802.0,2026-09-21 14:37:59,28,16
17,7,2,PO-000014,P-10033,25.0,33.0,2026-09-21 14:37:59,29,17
18,7,3,PO-000014,P-10016,10.0,1565.9,2026-09-21 14:37:59,30,18
19,7,4,PO-000014,P-10019,5.0,0.35,2026-09-21 14:37:59,31,19
20,8,1,PO-000015,P-10013,25.0,56968.5,2026-09-21 14:37:59,32,20
21,8,2,PO-000015,P-10038,50.0,652.5,2026-09-21 14:37:59,33,21
22,8,3,PO-000015,C-20004,50.0,4964.0,2026-09-21 14:37:59,34,22
23,8,4,PO-000015,P-10031,10.0,2559.2,2026-09-21 14:37:59,35,23
24,9,1,PO-STD-001,PN-10010,200.0,570.0,2026-09-21 14:38:00,39,26
25,9,2,PO-STD-001,P-10019,500.0,40.0,2026-09-21 14:38:00,40,27
26,9,3,PO-STD-001,P-10021,250.0,87.5,2026-09-21 14:38:00,41,28
27,9,4,PO-STD-001,P-10022,200.0,110.0,2026-09-21 14:38:00,42,29
28,10,1,PO-SVC-001,P-10028,24.0,1080.0,2026-09-21 14:38:00,36,24
29,11,1,PO-SVC-003,P-10029,10.0,650.0,2026-09-21 14:38:00,38,25
30,12,1,PO-000007,P-10027,3.0,269.28,2026-09-21 14:38:01,11,33
31,13,1,PO-000013,C-20002,100.0,78565.0,2026-09-21 14:38:01,24,34
32,14,1,PO-000010,P-10013,7.0,14700.0,2026-09-21 14:38:01,123,36
