line_id,po_id,part_id,part_description,quantity,unit_cost,line_total,created_at
1,PO-000001,P-10037,Composite Fuselage Skin Section,10.0,8742.06,87420.6,2026-07-05 10:36:28
2,PO-000001,P-10014,Inconel 718 Turbine Blade Blank,1.0,6982.63,6982.63,2026-07-05 10:36:28
3,PO-000001,P-10021,AN3-5A Bolt 10-32x5/16,1.0,0.32,0.32,2026-07-05 10:36:28
9,PO-000006,P-10014,Inconel 718 Turbine Blade Blank,5.0,6615.93,33079.65,2026-07-05 10:36:28
10,PO-000006,P-10014,Inconel 718 Turbine Blade Blank,5.0,6405.7,32028.5,2026-07-05 10:36:28
13,PO-000009,P-10018,304 SS Sheet 0.050 thick,100.0,13.28,1328.0,2026-07-05 10:36:28
14,PO-000009,P-10033,O-Ring AS568-214,1.0,1.12,1.12,2026-07-05 10:36:28
15,PO-000010,P-10033,O-Ring AS568-214,100.0,1.24,124.0,2026-07-05 10:36:28
16,PO-000010,C-20004,CMM Stylus Ruby 4mm M3,100.0,91.16,9116.0,2026-07-05 10:36:28
17,PO-000010,P-10018,304 SS Sheet 0.050 thick,100.0,13.0,1300.0,2026-07-05 10:36:28
18,PO-000011,P-10014,Inconel 718 Turbine Blade Blank,100.0,6760.14,676014.0,2026-07-05 10:36:28
19,PO-000011,P-10019,MS35337 Washer Flat,100.0,0.09,9.0,2026-07-05 10:36:28
20,PO-000011,P-10031,Seal Assembly — Hydraulic 3000PSI,5.0,297.95,1489.75,2026-07-05 10:36:28
21,PO-000011,P-10020,NAS1149 Washer Hi-Strength,2.0,0.41,0.82,2026-07-05 10:36:28
24,PO-000013,C-20002,Coolant Concentrate Semi-Synthetic 55 Gal,100.0,785.65,78565.0,2026-07-05 10:36:28
25,PO-000013,P-10013,Carbon Fiber Panel 0.063 thick,1.0,2258.36,2258.36,2026-07-05 10:36:28
26,PO-000013,P-10021,AN3-5A Bolt 10-32x5/16,2.0,0.36,0.72,2026-07-05 10:36:28
27,PO-000013,P-10021,AN3-5A Bolt 10-32x5/16,1.0,0.32,0.32,2026-07-05 10:36:28
36,PO-MRP-P-10032,P-10032,Bearing — Angular Contact 25mm,10.0,0.0,0.0,2026-07-05 10:36:33
38,PO-SVC-002,P-10027,Anodize — Type II Alodine Coated,36.0,85.0,3060.0,2026-07-05 10:36:34
39,PO-SVC-003,P-10029,NDT Inspection — Fluorescent Penetrant,18.0,65.0,1170.0,2026-07-05 10:36:34
40,PO-STD-001,PN-10010,"Titanium Hex Bolt AN3-10A, 3/8-24 UNF",200.0,2.85,570.0,2026-07-05 10:36:34
41,PO-STD-001,P-10019,MS35337 Washer Flat,500.0,0.08,40.0,2026-07-05 10:36:34
42,PO-STD-001,P-10021,AN3-5A Bolt 10-32x5/16,250.0,0.35,87.5,2026-07-05 10:36:34
43,PO-STD-001,P-10022,MS21042 Nut Self-Locking,200.0,0.55,110.0,2026-07-05 10:36:34
44,PO-CON-001,C-20001,Carbide End Mill 0.500 4FL TiAlN,10.0,42.5,425.0,2026-07-05 10:36:34
45,PO-CON-001,C-20002,Coolant Concentrate Semi-Synthetic 55 Gal,2.0,780.0,1560.0,2026-07-05 10:36:34
46,PO-CON-001,C-20003,Abrasive Disc 120 Grit 5 in (50 Pack),20.0,28.4,568.0,2026-07-05 10:36:34
47,PO-CON-001,C-20004,CMM Stylus Ruby 4mm M3,2.0,96.0,192.0,2026-07-05 10:36:34
48,PO-MRP-BLK1,AVN-52001,"Duplex Bearing, MLG Bay",82.0,439.28,36020.96,2026-07-05 20:40:11
49,PO-MRP-BLK2,AVN-52002,"Wire Harness, Flap Track",76.0,833.69,63360.44,2026-07-05 20:40:11
50,PO-MRP-BLK3,AVN-52003,"Static Seal, Wing Station 42",81.0,168.34,13635.54,2026-07-05 20:40:11
51,PO-MRP-BLK1,AVN-52004,"Pressure Transducer, Empennage",136.0,504.31,68586.16,2026-07-05 20:40:11
52,PO-MRP-BLK2,AVN-52005,"Position Sensor, Nacelle Assy",93.0,93.0,8649.0,2026-07-05 20:40:11
53,PO-MRP-BLK3,AVN-52006,"Relay Module, Aft Pylon",35.0,190.37,6662.95,2026-07-05 20:40:11
54,PO-MRP-BLK1,AVN-52007,"Servo Valve, Center Wing Box",46.0,873.9,40199.4,2026-07-05 20:40:11
55,PO-MRP-BLK2,AVN-52008,"Fuel Nozzle, Fwd Fuselage",112.0,226.83,25404.96,2026-07-05 20:40:11
56,PO-MRP-BLK3,AVN-52009,"Duplex Bearing, MLG Bay",133.0,362.0,48146.0,2026-07-05 20:40:11
57,PO-MRP-BLK1,AVN-52010,"Servo Valve, Center Wing Box",79.0,889.26,70251.54,2026-07-05 20:40:11
58,PO-MRP-BLK2,AVN-52011,"Relay Module, Aft Pylon",82.0,571.89,46894.98,2026-07-05 20:40:11
59,PO-MRP-BLK3,AVN-52012,"Position Sensor, Nacelle Assy",68.0,336.36,22872.48,2026-07-05 20:40:11
60,PO-MRP-BLK1,AVN-52013,"Pressure Transducer, Empennage",33.0,824.23,27199.59,2026-07-05 20:40:11
61,PO-MRP-BLK2,AVN-52014,"Static Seal, Wing Station 42",96.0,733.7,70435.2,2026-07-05 20:40:11
62,PO-MRP-BLK3,AVN-52015,"Wire Harness, Flap Track",69.0,98.89,6823.41,2026-07-05 20:40:11
63,PO-MRP-BLK1,AVN-52016,"Duplex Bearing, MLG Bay",75.0,841.44,63108.0,2026-07-05 20:40:11
64,PO-MRP-BLK2,AVN-52017,"Fuel Nozzle, Fwd Fuselage",62.0,450.35,27921.7,2026-07-05 20:40:11
65,PO-MRP-BLK3,AVN-52018,"Servo Valve, Center Wing Box",80.0,55.82,4465.6,2026-07-05 20:40:11
66,PO-MRP-BLK1,AVN-52019,"Relay Module, Aft Pylon",29.0,588.37,17062.73,2026-07-05 20:40:11
67,PO-MRP-BLK2,AVN-52020,"Position Sensor, Nacelle Assy",103.0,843.72,86903.16,2026-07-05 20:40:11
68,PO-MRP-BLK3,AVN-52021,"Pressure Transducer, Empennage",26.0,790.95,20564.7,2026-07-05 20:40:11
69,PO-MRP-BLK1,AVN-52022,"Servo Valve, Center Wing Box",36.0,100.54,3619.44,2026-07-05 20:40:11
70,PO-MRP-BLK2,AVN-52023,"Relay Module, Aft Pylon",25.0,98.53,2463.25,2026-07-05 20:40:11
71,PO-MRP-BLK3,AVN-52024,"Duplex Bearing, MLG Bay",24.0,106.96,2567.04,2026-07-05 20:40:11
72,PO-MRP-BLK1,AVN-52025,"Fuel Nozzle, Fwd Fuselage",69.0,932.35,64332.15,2026-07-05 20:40:11
73,PO-MRP-BLK2,AVN-52026,"Static Seal, Wing Station 42",75.0,214.5,16087.5,2026-07-05 20:40:11
74,PO-MRP-BLK3,AVN-52027,"Wire Harness, Flap Track",118.0,529.45,62475.1,2026-07-05 20:40:11
75,PO-MRP-BLK1,AVN-52028,"Position Sensor, Nacelle Assy",112.0,131.24,14698.88,2026-07-05 20:40:11
76,PO-MRP-BLK2,AVN-52029,"Pressure Transducer, Empennage",29.0,929.67,26960.43,2026-07-05 20:40:11
77,PO-MRP-BLK3,AVN-52030,"Wire Harness, Flap Track",111.0,372.41,41337.51,2026-07-05 20:40:11
78,PO-MRP-BLK1,AVN-52031,"Static Seal, Wing Station 42",98.0,718.26,70389.48,2026-07-05 20:40:11
79,PO-MRP-BLK2,AVN-52032,"Fuel Nozzle, Fwd Fuselage",116.0,347.95,40362.2,2026-07-05 20:40:11
80,PO-MRP-BLK3,AVN-52033,"Duplex Bearing, MLG Bay",25.0,254.48,6362.0,2026-07-05 20:40:11
81,PO-MRP-BLK1,AVN-52034,"Relay Module, Aft Pylon",120.0,714.93,85791.6,2026-07-05 20:40:11
82,PO-MRP-BLK2,AVN-52035,"Servo Valve, Center Wing Box",133.0,661.42,87968.86,2026-07-05 20:40:11
83,PO-MRP-BLK3,HDW-53001,"Cotter Pin, Fwd Fuselage",119.0,739.07,87949.33,2026-07-05 20:40:11
84,PO-MRP-BLK1,HDW-53002,"Washer, Wing Station 42",89.0,705.62,62800.18,2026-07-05 20:40:11
85,PO-MRP-BLK2,HDW-53003,"Self-Locking Nut, Flap Track",60.0,897.69,53861.4,2026-07-05 20:40:11
86,PO-MRP-BLK3,HDW-53004,"Retaining Ring, Nacelle Assy",101.0,711.72,71883.72,2026-07-05 20:40:11
87,PO-MRP-BLK1,HDW-53005,"Hi-Lok Pin, Empennage",40.0,781.83,31273.2,2026-07-05 20:40:11
88,PO-MRP-BLK2,HDW-53006,"Blind Rivet, Center Wing Box",22.0,357.02,7854.44,2026-07-05 20:40:11
89,PO-MRP-BLK3,HDW-53007,"Clevis Pin, Aft Pylon",35.0,477.89,16726.15,2026-07-05 20:40:11
90,PO-MRP-BLK1,HDW-53008,"Shear Bolt, MLG Bay",85.0,878.32,74657.2,2026-07-05 20:40:11
91,PO-MRP-BLK2,HDW-53009,"Cotter Pin, Fwd Fuselage",56.0,532.67,29829.52,2026-07-05 20:40:11
92,PO-MRP-BLK3,HDW-53010,"Clevis Pin, Aft Pylon",74.0,718.85,53194.9,2026-07-05 20:40:11
93,PO-MRP-BLK1,HDW-53011,"Blind Rivet, Center Wing Box",87.0,870.14,75702.18,2026-07-05 20:40:11
94,PO-MRP-BLK2,HDW-53012,"Hi-Lok Pin, Empennage",113.0,204.23,23077.99,2026-07-05 20:40:11
