po_id,supplier_id,po_type,po_date,required_date,status,total_cost,wo_id,service_id,buyer_id,site_id,created_at
PO-000001,S-014,material,2024-03-03,2024-04-26,Partial,94403.55,,,BUYER-9,SITE-1,2026-07-05 10:36:28
PO-000006,S-014,material,2024-11-19,2026-11-06,Open,65108.15,,,BUYER-9,SITE-1,2026-07-05 10:36:28
PO-000009,S-002,material,2024-03-16,2026-09-08,Open,18002.92,,,BUYER-1,SITE-1,2026-07-05 10:36:28
PO-000010,S-009,material,2024-03-11,2024-04-02,Partial,52540.0,,,BUYER-2,SITE-1,2026-07-05 10:36:28
PO-000011,S-014,material,2025-12-21,2026-01-16,Closed,677513.57,,,BUYER-9,SITE-1,2026-07-05 10:36:28
PO-000013,S-002,material,2024-05-17,2026-12-21,Open,80824.4,,,BUYER-1,SITE-1,2026-07-05 10:36:28
PO-MRP-P-10032,S-001,material,2026-01-01,2026-08-06,Open,0.0,,,BUYER-4,SITE-1,2026-07-05 10:36:33
PO-SVC-002,S-015,outside_service,2026-01-11,2026-10-16,Open,3060.0,WO-00002,ANODIZE-II,BUYER-6,SITE-1,2026-07-05 10:36:34
PO-SVC-003,S-010,outside_service,2025-12-22,2026-01-19,Partial,1170.0,WO-00003,NDT-UT,BUYER-3,SITE-1,2026-07-05 10:36:34
PO-STD-001,S-013,material,2025-11-22,2025-12-22,Closed,807.5,,,BUYER-5,SITE-1,2026-07-05 10:36:34
PO-CON-001,S-027,material,2026-01-16,2026-10-22,Open,2745.0,,,BUYER-10,SITE-1,2026-07-05 10:36:34
PO-MRP-BLK1,S-001,material,2026-01-01,2026-07-27,Open,1146350.08,,,BUYER-4,SITE-1,2026-07-05 20:40:11
PO-MRP-BLK2,S-002,material,2026-01-01,2026-09-26,Open,984537.96,,,BUYER-1,SITE-1,2026-07-05 20:40:11
PO-MRP-BLK3,S-005,material,2026-01-01,2026-08-22,Open,751198.32,,,BUYER-5,SITE-1,2026-07-05 20:40:11
PO-MRP-P-10037,S-014,material,2026-07-01,2027-03-04,Open,629428.32,,,BUYER-9,SITE-1,2026-07-26 01:06:48
PO-SVC-001,S-009,outside_service,2026-05-17,2026-06-16,Closed,1080.0,WO-00002,HEAT-TREAT,BUYER-2,SITE-1,2026-07-26 01:06:50
