id,category_id,query_name,declared_perspectives,inferred_primary,inferred_scores_json,agreed,resolved_perspective,created_at
36,crm_customer,unnamed,Receivables · CRM,Receivables,"{""Receivables"": 0.444, ""Customer_Order"": 0.278, ""CRM"": 0.278}",1,Receivables,2026-07-08 06:04:22
37,customer_order,unnamed,Customer_Order · Receivables,Customer_Order,"{""Manufacturing"": 0.25, ""Customer_Order"": 0.333, ""Payables"": 0.083, ""Receivables"": 0.083, ""Quality"": 0.25}",1,Customer_Order,2026-07-08 06:04:22
38,delivery_performance_perspectives,unnamed,Payables · Receivables,Payables,"{""Payables"": 0.375, ""Receivables"": 0.25, ""Customer_Order"": 0.25, ""Quality"": 0.125}",1,Payables,2026-07-08 06:04:22
39,equipment_reliability,unnamed,Manufacturing,Manufacturing,"{""Manufacturing"": 1.0}",1,Manufacturing,2026-07-08 06:04:22
40,inventory_allocated_20260703_000005,ALLOCATEDQUANTITY,,UNMAPPED,{},-1,UNMAPPED,2026-07-08 06:04:22
41,inventory_atp_20260703_000004,AVAILABLETOPROMISE,,Manufacturing,"{""Manufacturing"": 0.5, ""Payables"": 0.5}",-1,Manufacturing,2026-07-08 06:04:22
42,inventory_eoq_20260703_000010,ECONOMICORDERQUANTITY,,Payables,"{""Payables"": 1.0}",-1,Payables,2026-07-08 06:04:22
43,inventory_leadtime_20260703_000003,LEADTIME,,UNMAPPED,{},-1,UNMAPPED,2026-07-08 06:04:22
44,inventory_leadtimedemand_20260703_000007,LEADTIMEDEMAND,,Manufacturing,"{""Manufacturing"": 1.0}",-1,Manufacturing,2026-07-08 06:04:22
45,inventory_maximumstock_20260703_000009,MAXIMUMSTOCKQUANTITY,,Payables,"{""Payables"": 1.0}",-1,Payables,2026-07-08 06:04:22
46,inventory_minimumstock_20260703_000008,MINIMUMSTOCKQUANTITY,,UNMAPPED,{},-1,UNMAPPED,2026-07-08 06:04:22
