receivable_line_id,invoice_id,line_no,order_id,part_id,qty,amount,order_line_id,shipment_line_id,created_at
1,1,1,CO-00001,P-10040,4.0,17884.6,1,,2026-07-14 04:19:36
2,1,2,CO-00001,P-10026,1.0,4372.43,2,,2026-07-14 04:19:36
3,2,1,CO-00002,P-10013,10.0,30140.5,3,,2026-07-14 04:19:36
4,2,2,CO-00002,P-10024,2.0,20653.56,4,,2026-07-14 04:19:36
5,3,1,CO-00003,P-10031,10.0,4040.3,5,,2026-07-14 04:19:36
6,3,2,CO-00003,C-20002,10.0,9632.2,6,,2026-07-14 04:19:36
7,4,1,CO-00004,P-10025,4.0,4629.32,7,,2026-07-14 04:19:36
8,5,1,CO-00005,P-10032,1.0,252.05,8,,2026-07-14 04:19:36
9,6,1,CO-00006,P-10031,1.0,403.84,9,,2026-07-14 04:19:36
10,7,1,CO-00007,P-10032,2.0,496.3,10,,2026-07-14 04:19:36
11,7,2,CO-00007,C-20001,1.0,60.0,11,,2026-07-14 04:19:36
12,7,3,CO-00007,C-20004,4.0,495.68,12,,2026-07-14 04:19:36
13,8,1,CO-00008,P-10035,2.0,3887.06,13,,2026-07-14 04:19:36
14,8,2,CO-00008,P-10031,5.0,1657.9,14,,2026-07-14 04:19:36
15,9,1,CO-00009,P-10037,5.0,53922.35,15,,2026-07-14 04:19:36
16,10,1,CO-00010,P-10011,2.0,4480.34,16,,2026-07-14 04:19:36
17,10,2,CO-00010,C-20004,4.0,451.4,17,,2026-07-14 04:19:36
18,10,3,CO-00010,P-10026,1.0,4215.75,18,,2026-07-14 04:19:36
19,11,1,CO-00011,P-10026,10.0,40451.6,19,,2026-07-14 04:19:36
20,11,2,CO-00011,P-10040,4.0,20275.92,20,,2026-07-14 04:19:36
21,12,1,CO-00013,P-10012,2.0,782.06,23,,2026-07-14 04:19:36
22,12,2,CO-00013,C-20003,1.0,33.99,24,,2026-07-14 04:19:36
23,13,1,CO-00014,P-10040,10.0,46475.1,25,,2026-07-14 04:19:36
24,13,2,CO-00014,P-10011,2.0,4636.62,26,,2026-07-14 04:19:36
25,14,1,CO-00015,P-10040,1.0,4882.38,27,,2026-07-14 04:19:36
26,14,2,CO-00015,P-10031,10.0,3775.4,28,,2026-07-14 04:19:36
