payment_id,invoice_id,installment_no,payment_date,amount,source_event_id,created_at
1,4,1,2026-07-07,1543.1,,2026-07-24 03:51:12
2,4,2,2026-07-14,1543.1,,2026-07-24 03:51:12
3,4,3,2026-07-21,1543.12,,2026-07-24 03:51:12
4,6,1,2026-07-07,134.61,,2026-07-24 03:51:12
5,6,2,2026-07-14,134.61,,2026-07-24 03:51:12
6,6,3,2026-07-21,134.62,,2026-07-24 03:51:12
7,7,1,2026-07-07,350.66,,2026-07-24 03:51:12
8,7,2,2026-07-14,350.66,,2026-07-24 03:51:12
9,7,3,2026-07-21,350.66,,2026-07-24 03:51:12
10,9,1,2026-07-07,17974.11,,2026-07-24 03:51:12
11,9,2,2026-07-14,17974.11,,2026-07-24 03:51:12
12,9,3,2026-07-21,17974.13,,2026-07-24 03:51:12
13,12,1,2026-07-07,272.01,,2026-07-24 03:51:12
14,12,2,2026-07-14,272.01,,2026-07-24 03:51:12
15,12,3,2026-07-21,272.03,,2026-07-24 03:51:12
