receipt_id,po_id,supplier_id,part_id,quantity_ordered,quantity_received,receipt_date,received_date,inspection_status,cert_required,created_at
1,PO-000001,S-014,P-10037,10.0,8.3,2025-01-04,2025-01-04,Failed,1,2026-09-21 14:37:59
2,PO-000001,S-014,P-10014,1.0,1.0,2024-06-07,2024-06-07,Waived,1,2026-09-21 14:37:59
3,PO-000001,S-014,P-10021,1.0,1.0,2025-07-04,2025-07-04,Passed,0,2026-09-21 14:37:59
4,PO-000003,S-003,P-10027,1.0,1.0,2024-12-31,2024-12-31,Pending,0,2026-09-21 14:37:59
5,PO-000005,S-001,P-10038,1.0,1.0,2025-08-21,2025-08-21,Passed,0,2026-09-21 14:37:59
6,PO-000005,S-001,P-10039,25.0,25.0,2025-12-12,2025-12-12,Pending,0,2026-09-21 14:37:59
7,PO-000010,S-009,P-10033,100.0,100.0,2024-07-28,2024-07-28,Failed,0,2026-09-21 14:37:59
8,PO-000010,S-009,C-20004,100.0,100.0,2025-03-22,2025-03-22,Failed,0,2026-09-21 14:37:59
9,PO-000010,S-009,P-10018,100.0,91.7,2024-12-08,2024-12-08,Passed,0,2026-09-21 14:37:59
10,PO-000011,S-014,P-10014,100.0,100.0,2025-09-16,2025-09-16,Failed,1,2026-09-21 14:37:59
11,PO-000011,S-014,P-10019,100.0,100.0,2025-05-22,2025-05-22,Pending,0,2026-09-21 14:37:59
12,PO-000011,S-014,P-10031,5.0,5.0,2024-09-06,2024-09-06,Failed,0,2026-09-21 14:37:59
13,PO-000011,S-014,P-10020,2.0,2.0,2024-07-23,2024-07-23,Waived,0,2026-09-21 14:37:59
14,PO-000012,S-015,P-10030,5.0,5.0,2025-07-12,2025-07-12,Waived,0,2026-09-21 14:37:59
15,PO-000012,S-015,P-10027,100.0,100.0,2025-01-09,2025-01-09,Passed,0,2026-09-21 14:37:59
16,PO-000014,S-014,P-10031,50.0,50.0,2024-09-28,2024-09-28,Waived,0,2026-09-21 14:37:59
17,PO-000014,S-014,P-10033,25.0,25.0,2024-08-22,2024-08-22,Passed,0,2026-09-21 14:37:59
18,PO-000014,S-014,P-10016,10.0,10.0,2024-10-08,2024-10-08,Pending,0,2026-09-21 14:37:59
19,PO-000014,S-014,P-10019,5.0,5.0,2024-04-15,2024-04-15,Pending,0,2026-09-21 14:37:59
20,PO-000015,S-009,P-10013,25.0,25.0,2025-11-06,2025-11-06,Failed,1,2026-09-21 14:37:59
21,PO-000015,S-009,P-10038,50.0,50.0,2025-02-28,2025-02-28,Pending,0,2026-09-21 14:37:59
22,PO-000015,S-009,C-20004,50.0,50.0,2024-07-01,2024-07-01,Waived,0,2026-09-21 14:37:59
23,PO-000015,S-009,P-10031,10.0,10.0,2024-05-20,2024-05-20,Pending,0,2026-09-21 14:37:59
24,PO-SVC-001,S-009,P-10028,24.0,24.0,2025-12-02,2025-12-02,Passed,1,2026-09-21 14:38:00
25,PO-SVC-003,S-010,P-10029,18.0,10.0,2026-01-09,2026-01-09,Passed,1,2026-09-21 14:38:00
26,PO-STD-001,S-013,PN-10010,200.0,200.0,2025-12-12,2025-12-12,Passed,1,2026-09-21 14:38:00
27,PO-STD-001,S-013,P-10019,500.0,500.0,2025-12-12,2025-12-12,Passed,0,2026-09-21 14:38:00
28,PO-STD-001,S-013,P-10021,250.0,250.0,2025-12-12,2025-12-12,Passed,0,2026-09-21 14:38:00
29,PO-STD-001,S-013,P-10022,200.0,200.0,2025-12-12,2025-12-12,Passed,0,2026-09-21 14:38:00
30,PO-000009,S-002,P-10018,100.0,100.0,2026-01-15,2026-01-15,Passed,0,2026-09-21 14:38:00
31,PO-000002,S-012,C-20001,5.0,5.0,2026-01-11,2026-01-11,Passed,0,2026-09-21 14:38:01
32,PO-000006,S-014,P-10014,5.0,5.0,2026-01-12,2026-01-12,Passed,0,2026-09-21 14:38:01
33,PO-000007,S-004,P-10027,5.0,5.0,2026-01-13,2026-01-13,Passed,0,2026-09-21 14:38:01
34,PO-000013,S-002,C-20002,100.0,100.0,2026-01-14,2026-01-14,Passed,0,2026-09-21 14:38:01
35,PO-000009,S-002,AVN-52002,20.0,12.0,2026-01-09,2026-01-09,Passed,0,2026-09-21 14:38:01
36,PO-000010,S-009,P-10013,20.0,14.0,2026-01-10,2026-01-10,Passed,0,2026-09-21 14:38:01
