receipt_line_id,receipt_id,line_no,po_line_id,part_id,quantity_ordered,quantity_received,inspection_status,cert_required,created_at
1,1,1,1,P-10037,10.0,8.3,Failed,1,2026-09-21 14:37:59
2,2,1,2,P-10014,1.0,1.0,Waived,1,2026-09-21 14:37:59
3,3,1,3,P-10021,1.0,1.0,Passed,0,2026-09-21 14:37:59
4,4,1,6,P-10027,1.0,1.0,Pending,0,2026-09-21 14:37:59
5,5,1,7,P-10038,1.0,1.0,Passed,0,2026-09-21 14:37:59
6,6,1,8,P-10039,25.0,25.0,Pending,0,2026-09-21 14:37:59
7,7,1,15,P-10033,100.0,100.0,Failed,0,2026-09-21 14:37:59
8,8,1,16,C-20004,100.0,100.0,Failed,0,2026-09-21 14:37:59
9,9,1,17,P-10018,100.0,91.7,Passed,0,2026-09-21 14:37:59
10,10,1,18,P-10014,100.0,100.0,Failed,1,2026-09-21 14:37:59
11,11,1,19,P-10019,100.0,100.0,Pending,0,2026-09-21 14:37:59
12,12,1,20,P-10031,5.0,5.0,Failed,0,2026-09-21 14:37:59
13,13,1,21,P-10020,2.0,2.0,Waived,0,2026-09-21 14:37:59
14,14,1,22,P-10030,5.0,5.0,Waived,0,2026-09-21 14:37:59
15,15,1,23,P-10027,100.0,100.0,Passed,0,2026-09-21 14:37:59
16,16,1,28,P-10031,50.0,50.0,Waived,0,2026-09-21 14:37:59
17,17,1,29,P-10033,25.0,25.0,Passed,0,2026-09-21 14:37:59
18,18,1,30,P-10016,10.0,10.0,Pending,0,2026-09-21 14:37:59
19,19,1,31,P-10019,5.0,5.0,Pending,0,2026-09-21 14:37:59
20,20,1,32,P-10013,25.0,25.0,Failed,1,2026-09-21 14:37:59
21,21,1,33,P-10038,50.0,50.0,Pending,0,2026-09-21 14:37:59
22,22,1,34,C-20004,50.0,50.0,Waived,0,2026-09-21 14:37:59
23,23,1,35,P-10031,10.0,10.0,Pending,0,2026-09-21 14:37:59
24,24,1,36,P-10028,24.0,24.0,Passed,1,2026-09-21 14:38:00
25,25,1,38,P-10029,18.0,10.0,Passed,1,2026-09-21 14:38:00
26,26,1,39,PN-10010,200.0,200.0,Passed,1,2026-09-21 14:38:00
27,27,1,40,P-10019,500.0,500.0,Passed,0,2026-09-21 14:38:00
28,28,1,41,P-10021,250.0,250.0,Passed,0,2026-09-21 14:38:00
29,29,1,42,P-10022,200.0,200.0,Passed,0,2026-09-21 14:38:00
30,30,1,13,P-10018,100.0,100.0,Passed,0,2026-09-21 14:38:00
31,31,1,4,C-20001,5.0,5.0,Passed,0,2026-09-21 14:38:01
32,32,1,9,P-10014,5.0,5.0,Passed,0,2026-09-21 14:38:01
33,33,1,11,P-10027,5.0,5.0,Passed,0,2026-09-21 14:38:01
34,34,1,24,C-20002,100.0,100.0,Passed,0,2026-09-21 14:38:01
35,35,1,122,AVN-52002,20.0,12.0,Passed,0,2026-09-21 14:38:01
36,36,1,123,P-10013,20.0,14.0,Passed,0,2026-09-21 14:38:01
