requirement_id,component_type,component_id,requirement_level,requirement_type,operation_seq,operation_rowid,material_part_id,std_qty,actual_qty,unit_cost,extended_cost,created_at
REQ-WO-00001-30,WORK_ORDER,WO-00001,WORK_ORDER,MATERIAL,30,1,P-10034,3.28,3.28,195.0,639.6,2026-07-05 10:36:30
REQ-WO-00002-10,WORK_ORDER,WO-00002,WORK_ORDER,MATERIAL,10,5,P-10018,1.59,39.75,12.5,496.88,2026-07-05 10:36:30
REQ-WO-00003-10,WORK_ORDER,WO-00003,WORK_ORDER,MATERIAL,10,9,P-10015,2.01,8.04,18.5,148.74,2026-07-05 10:36:30
REQ-WO-00004-20,WORK_ORDER,WO-00004,WORK_ORDER,MATERIAL,20,14,P-10015,3.34,83.5,18.5,1544.75,2026-07-05 10:36:30
REQ-WO-00005-20,WORK_ORDER,WO-00005,WORK_ORDER,MATERIAL,20,19,P-10034,3.35,6.7,195.0,1306.5,2026-07-05 10:36:30
REQ-WO-00006-30,WORK_ORDER,WO-00006,WORK_ORDER,MATERIAL,30,23,P-10017,2.2,2.2,210.0,462.0,2026-07-05 10:36:30
REQ-WO-00007-30,WORK_ORDER,WO-00007,WORK_ORDER,MATERIAL,30,28,P-10016,2.64,2.64,145.0,382.8,2026-07-05 10:36:30
REQ-WO-00007-110,WORK_ORDER,WO-00007,WORK_ORDER,MATERIAL,110,29,P-10019,4.0,4.0,0.08,0.32,2026-07-05 10:36:30
REQ-WO-00008-20,WORK_ORDER,WO-00008,WORK_ORDER,MATERIAL,20,33,P-10034,2.71,5.42,195.0,1056.9,2026-07-05 10:36:30
REQ-WO-00009-20,WORK_ORDER,WO-00009,WORK_ORDER,MATERIAL,20,35,P-10016,2.68,13.4,145.0,1943.0,2026-07-05 10:36:30
REQ-WO-00009-60,WORK_ORDER,WO-00009,WORK_ORDER,MATERIAL,60,36,P-10023,6.0,30.0,2.2,66.0,2026-07-05 10:36:30
REQ-WO-00010-30,WORK_ORDER,WO-00010,WORK_ORDER,MATERIAL,30,40,P-10015,1.48,2.96,18.5,54.76,2026-07-05 10:36:30
REQ-WO-00011-10,WORK_ORDER,WO-00011,WORK_ORDER,MATERIAL,10,44,P-10016,2.03,4.06,145.0,588.7,2026-07-05 10:36:30
REQ-WO-00012-20,WORK_ORDER,WO-00012,WORK_ORDER,MATERIAL,20,46,P-10016,2.82,141.0,145.0,20445.0,2026-07-05 10:36:30
REQ-WO-00013-20,WORK_ORDER,WO-00013,WORK_ORDER,MATERIAL,20,50,P-10018,2.54,5.08,12.5,63.5,2026-07-05 10:36:30
REQ-WO-00014-10,WORK_ORDER,WO-00014,WORK_ORDER,MATERIAL,10,54,P-10034,3.08,12.32,195.0,2402.4,2026-07-05 10:36:30
REQ-WO-00015-10,WORK_ORDER,WO-00015,WORK_ORDER,MATERIAL,10,56,P-10017,3.48,3.48,210.0,730.8,2026-07-05 10:36:30
REQ-DSN-BRKT-70001-10,PART,BRKT-70001,DESIGN,MATERIAL,10,,P-10015,0.42,0.0,18.5,7.77,2026-07-19 06:55:26
REQ-DSN-MCH-51006-20-BRKT,PART,MCH-51006,DESIGN,MATERIAL,20,,BRKT-70001,4.0,0.0,24.85,99.4,2026-07-19 06:55:26
REQ-DSN-MCH-51011-20-BRKT,PART,MCH-51011,DESIGN,MATERIAL,20,,BRKT-70001,4.0,0.0,24.85,99.4,2026-07-19 06:55:26
REQ-DSN-MCH-51019-20-BRKT,PART,MCH-51019,DESIGN,MATERIAL,20,,BRKT-70001,2.0,0.0,24.85,49.7,2026-07-19 06:55:26
REQ-DSN-MCH-51008-30-BRKT,PART,MCH-51008,DESIGN,MATERIAL,30,,BRKT-70001,2.0,0.0,24.85,49.7,2026-07-19 06:55:26
REQ-DSN-MCH-51001-40-BRKT,PART,MCH-51001,DESIGN,MATERIAL,40,,BRKT-70001,6.0,0.0,24.85,149.1,2026-07-19 06:55:26
