ordinal,_key,_id,_from,_to,edge_family,edge_type,perspective,unique_id,references_table,references_column,weight,priority_weight,field_component,variable_name,origin,join_type
1,EMPLOYEE:employee_id:structural:system:has_column:SYS_HAS_EMP_EMP_001,manufacturing_graph_edge/EMPLOYEE:employee_id:structural:system:has_column:SYS_HAS_EMP_EMP_001,manufacturing_graph_node/EMPLOYEE:entity:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:employee_id:structural:system:none:none,structural,has_column,system,SYS_HAS_EMP_EMP_001,,,,,,,,
2,EMPLOYEE:employee_name:structural:system:has_column:SYS_HAS_EMP_EMP_002,manufacturing_graph_edge/EMPLOYEE:employee_name:structural:system:has_column:SYS_HAS_EMP_EMP_002,manufacturing_graph_node/EMPLOYEE:entity:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:employee_name:structural:system:none:none,structural,has_column,system,SYS_HAS_EMP_EMP_002,,,,,,,,
3,EMPLOYEE:job_title:structural:system:has_column:SYS_HAS_EMP_JOB_001,manufacturing_graph_edge/EMPLOYEE:job_title:structural:system:has_column:SYS_HAS_EMP_JOB_001,manufacturing_graph_node/EMPLOYEE:entity:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:job_title:structural:system:none:none,structural,has_column,system,SYS_HAS_EMP_JOB_001,,,,,,,,
4,EMPLOYEE:department:structural:system:has_column:SYS_HAS_EMP_DEP_001,manufacturing_graph_edge/EMPLOYEE:department:structural:system:has_column:SYS_HAS_EMP_DEP_001,manufacturing_graph_node/EMPLOYEE:entity:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:department:structural:system:none:none,structural,has_column,system,SYS_HAS_EMP_DEP_001,,,,,,,,
5,EMPLOYEE:hourly_rate:structural:system:has_column:SYS_HAS_EMP_HOU_001,manufacturing_graph_edge/EMPLOYEE:hourly_rate:structural:system:has_column:SYS_HAS_EMP_HOU_001,manufacturing_graph_node/EMPLOYEE:entity:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:hourly_rate:structural:system:none:none,structural,has_column,system,SYS_HAS_EMP_HOU_001,,,,,,,,
6,EMPLOYEE:buyer_code:structural:system:has_column:SYS_HAS_EMP_BUY_001,manufacturing_graph_edge/EMPLOYEE:buyer_code:structural:system:has_column:SYS_HAS_EMP_BUY_001,manufacturing_graph_node/EMPLOYEE:entity:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:buyer_code:structural:system:none:none,structural,has_column,system,SYS_HAS_EMP_BUY_001,,,,,,,,
7,EMPLOYEE:home_resource_id:structural:system:has_column:SYS_HAS_EMP_HOM_001,manufacturing_graph_edge/EMPLOYEE:home_resource_id:structural:system:has_column:SYS_HAS_EMP_HOM_001,manufacturing_graph_node/EMPLOYEE:entity:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:home_resource_id:structural:system:none:none,structural,has_column,system,SYS_HAS_EMP_HOM_001,,,,,,,,
8,EMPLOYEE:hire_date:structural:system:has_column:SYS_HAS_EMP_HIR_001,manufacturing_graph_edge/EMPLOYEE:hire_date:structural:system:has_column:SYS_HAS_EMP_HIR_001,manufacturing_graph_node/EMPLOYEE:entity:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:hire_date:structural:system:none:none,structural,has_column,system,SYS_HAS_EMP_HIR_001,,,,,,,,
9,EMPLOYEE:active:structural:system:has_column:SYS_HAS_EMP_ACT_001,manufacturing_graph_edge/EMPLOYEE:active:structural:system:has_column:SYS_HAS_EMP_ACT_001,manufacturing_graph_node/EMPLOYEE:entity:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:active:structural:system:none:none,structural,has_column,system,SYS_HAS_EMP_ACT_001,,,,,,,,
10,EMPLOYEE:created_at:structural:system:has_column:SYS_HAS_EMP_CRE_001,manufacturing_graph_edge/EMPLOYEE:created_at:structural:system:has_column:SYS_HAS_EMP_CRE_001,manufacturing_graph_node/EMPLOYEE:entity:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:created_at:structural:system:none:none,structural,has_column,system,SYS_HAS_EMP_CRE_001,,,,,,,,
