ordinal,_key,_id,node_type,node_family,perspective,table_name,column_name,column_slot,concept_name,concept_type,domain,synonyms,tags,computation_template,binding_key,concept_anchor,logic_type,predicate,unique_id,description,column_type,notnull,default_value,primary_key,foreign_key
1,EMPLOYEE:entity:structural:system:none:none,manufacturing_graph_node/EMPLOYEE:entity:structural:system:none:none,table,structural,system,EMPLOYEE,,entity,,,,,,,,,,none,none,Employee master records,,,,,
2,certification:entity:structural:system:none:none,manufacturing_graph_node/certification:entity:structural:system:none:none,table,structural,system,certification,,entity,,,,,,,,,,none,none,"Supplier certification records (CoC, FAI, PPAP, 8130-3, Material Test Report)",,,,,
3,customer_order:entity:structural:system:none:none,manufacturing_graph_node/customer_order:entity:structural:system:none:none,table,structural,system,customer_order,,entity,,,,,,,,,,none,none,Customer order header — demand-side sales orders with site and status,,,,,
4,customer_order_line:entity:structural:system:none:none,manufacturing_graph_node/customer_order_line:entity:structural:system:none:none,table,structural,system,customer_order_line,,entity,,,,,,,,,,none,none,"Customer order line items — part, quantity, unit price per order",,,,,
5,gl_events:entity:structural:system:none:none,manufacturing_graph_node/gl_events:entity:structural:system:none:none,table,structural,system,gl_events,,entity,,,,,,,,,,none,none,"GL economic-event log — one row per posted costing event (material issue, labor, burden, job completion) with source-document provenance",,,,,
6,gl_finished_goods_inventory:entity:structural:system:none:none,manufacturing_graph_node/gl_finished_goods_inventory:entity:structural:system:none:none,table,structural,system,gl_finished_goods_inventory,,entity,,,,,,,,,,none,none,"Finished-goods inventory ledger lines — signed dollar movements into (+) and out of (-) the FG account, hung off gl_events",,,,,
7,gl_job_cost_detail:entity:structural:system:none:none,manufacturing_graph_node/gl_job_cost_detail:entity:structural:system:none:none,table,structural,system,gl_job_cost_detail,,entity,,,,,,,,,,none,none,Per-job cost-element detail lines (material / labor / burden) tying each posted dollar back to its work order,,,,,
8,gl_raw_materials_inventory:entity:structural:system:none:none,manufacturing_graph_node/gl_raw_materials_inventory:entity:structural:system:none:none,table,structural,system,gl_raw_materials_inventory,,entity,,,,,,,,,,none,none,"Raw-materials inventory ledger lines — signed dollar movements into (+) and out of (-) the RM account, hung off gl_events",,,,,
9,gl_wip_inventory:entity:structural:system:none:none,manufacturing_graph_node/gl_wip_inventory:entity:structural:system:none:none,table,structural,system,gl_wip_inventory,,entity,,,,,,,,,,none,none,"Work-in-process inventory ledger lines — signed dollar movements into (+) and out of (-) the WIP account, hung off gl_events",,,,,
10,inv_trans_dist:entity:structural:system:none:none,manufacturing_graph_node/inv_trans_dist:entity:structural:system:none:none,table,structural,system,inv_trans_dist,,entity,,,,,,,,,,none,none,Inventory transaction distribution — links an IN movement to an OUT movement (lot genealogy),,,,,
11,inventory_transaction:entity:structural:system:none:none,manufacturing_graph_node/inventory_transaction:entity:structural:system:none:none,table,structural,system,inventory_transaction,,entity,,,,,,,,,,none,none,"Inventory movement ledger (CLASS R/A/I x TYPE I/O) — receipts, issues, adjustments",,,,,
