concept_anchor,binding_key,view_file,physical_tables_json,cte_names_json,joins_json,state_predicates_json,grain_columns_json,time_phased,temporal_keys_json,selected_columns_json,semantics_version,extracted_at
AVAILABLETOPROMISE,inventory_atp_20260703_000004,app_schema/ground_truth/sql_snippets/inventory_atp_20260703_000004.sql,"[""part"", ""customer_order_line"", ""customer_order"", ""work_order"", ""po_line"", ""purchase_order""]","[""h"", ""buckets"", ""demand"", ""receipts""]","[{""left_table"": ""part"", ""right_table"": ""buckets"", ""join_type"": ""CROSS"", ""on_condition"": """", ""left_key"": null, ""right_key"": null, ""left_alias"": ""p"", ""right_alias"": ""b"", ""scope"": """"}, {""left_table"": ""part"", ""right_table"": ""demand"", ""join_type"": ""LEFT"", ""on_condition"": ""d.part_id = p.part_id AND d.idx = b.idx"", ""left_key"": null, ""right_key"": null, ""left_alias"": ""p"", ""right_alias"": ""d"", ""scope"": """"}, {""left_table"": ""part"", ""right_table"": ""receipts"", ""join_type"": ""LEFT"", ""on_condition"": ""r.part_id = p.part_id AND r.idx = b.idx"", ""left_key"": null, ""right_key"": null, ""left_alias"": ""p"", ""right_alias"": ""r"", ""scope"": """"}, {""left_table"": ""customer_order_line"", ""right_table"": ""customer_order"", ""join_type"": ""INNER"", ""on_condition"": ""o.order_id = col.order_id"", ""left_key"": ""order_id"", ""right_key"": ""order_id"", ""left_alias"": ""col"", ""right_alias"": ""o"", ""scope"": ""demand""}, {""left_table"": ""customer_order_line"", ""right_table"": ""buckets"", ""join_type"": ""INNER"", ""on_condition"": ""NOT col.need_by_date IS NULL AND DATE(col.need_by_date) >= b.b_start AND DATE(col.need_by_date) < b.b_end"", ""left_key"": null, ""right_key"": null, ""left_alias"": ""col"", ""right_alias"": ""b"", ""scope"": ""demand""}, {""left_table"": ""work_order"", ""right_table"": ""buckets"", ""join_type"": ""INNER"", ""on_condition"": ""NOT wo.required_date IS NULL AND DATE(wo.required_date) >= b.b_start AND DATE(wo.required_date) < b.b_end"", ""left_key"": null, ""right_key"": null, ""left_alias"": ""wo"", ""right_alias"": ""b"", ""scope"": ""(unnamed subquery)""}, {""left_table"": ""po_line"", ""right_table"": ""purchase_order"", ""join_type"": ""INNER"", ""on_condition"": ""po.po_id = pl.po_id"", ""left_key"": ""po_id"", ""right_key"": ""po_id"", ""left_alias"": ""pl"", ""right_alias"": ""po"", ""scope"": ""(unnamed subquery)""}, {""left_table"": ""po_line"", ""right_table"": ""buckets"", ""join_type"": ""INNER"", ""on_condition"": ""NOT po.required_date IS NULL AND DATE(po.required_date) >= b.b_start AND DATE(po.required_date) < b.b_end"", ""left_key"": null, ""right_key"": null, ""left_alias"": ""pl"", ""right_alias"": ""b"", ""scope"": ""(unnamed subquery)""}]","[""p.active = 1"", ""o.status = 'Open'"", ""idx < 5"", ""wo.status IN ('unreleased', 'firmed', 'released')"", ""po.status IN ('Open', 'Partial')""]","[""part_id"", ""idx""]",1,"[""bucket_index"", ""bucket"", ""bucket_start""]","[""part_id"", ""part_description"", ""part_class"", ""unit_of_measure"", ""bucket_index"", ""bucket"", ""bucket_start"", ""on_hand_qty"", ""gross_requirements"", ""scheduled_receipts"", ""atp_pab"", ""atp_status""]",mrp_views_v1,2026-07-26T00:46:15.787198+00:00
ALLOCATEDQUANTITY,inventory_allocated_20260703_000005,app_schema/ground_truth/sql_snippets/inventory_allocated_20260703_000005.sql,"[""customer_order_line"", ""customer_order"", ""part""]",[],"[{""left_table"": ""customer_order_line"", ""right_table"": ""customer_order"", ""join_type"": ""INNER"", ""on_condition"": ""o.order_id = col.order_id"", ""left_key"": ""order_id"", ""right_key"": ""order_id"", ""left_alias"": ""col"", ""right_alias"": ""o"", ""scope"": """"}, {""left_table"": ""customer_order_line"", ""right_table"": ""part"", ""join_type"": ""INNER"", ""on_condition"": ""p.part_id = col.part_id"", ""left_key"": ""part_id"", ""right_key"": ""part_id"", ""left_alias"": ""col"", ""right_alias"": ""p"", ""scope"": """"}]","[""p.active = 1 AND o.status = 'Open'""]","[""part_id"", ""part_description"", ""part_class"", ""unit_of_measure"", ""on_hand_qty"", ""allocated_qty""]",0,[],"[""part_id"", ""part_description"", ""part_class"", ""unit_of_measure"", ""on_hand_qty"", ""allocated_qty"", ""open_order_count"", ""earliest_need_by""]",mrp_views_v1,2026-07-26T00:46:15.789690+00:00
SAFETYSTOCK,inventory_safetystock_20260703_000006,app_schema/ground_truth/sql_snippets/inventory_safetystock_20260703_000006.sql,"[""part"", ""customer_order_line"", ""customer_order"", ""work_order""]","[""horizon"", ""open_demand""]","[{""left_table"": ""part"", ""right_table"": ""horizon"", ""join_type"": ""CROSS"", ""on_condition"": """", ""left_key"": null, ""right_key"": null, ""left_alias"": ""p"", ""right_alias"": ""h"", ""scope"": """"}, {""left_table"": ""part"", ""right_table"": ""open_demand"", ""join_type"": ""LEFT"", ""on_condition"": ""od.part_id = p.part_id"", ""left_key"": ""part_id"", ""right_key"": ""part_id"", ""left_alias"": ""p"", ""right_alias"": ""od"", ""scope"": """"}, {""left_table"": ""customer_order_line"", ""right_table"": ""customer_order"", ""join_type"": ""INNER"", ""on_condition"": ""o.order_id = col.order_id"", ""left_key"": ""order_id"", ""right_key"": ""order_id"", ""left_alias"": ""col"", ""right_alias"": ""o"", ""scope"": ""open_demand""}, {""left_table"": ""customer_order_line"", ""right_table"": ""horizon"", ""join_type"": ""CROSS"", ""on_condition"": """", ""left_key"": null, ""right_key"": null, ""left_alias"": ""col"", ""right_alias"": ""h"", ""scope"": ""open_demand""}]","[""p.active = 1"", ""o.status = 'Open' AND NOT col.need_by_date IS NULL AND DATE(col.need_by_date) >= h.plan_start AND DATE(col.need_by_date) < h.horizon_end""]","[""safety_stock_proxy""]",1,[],"[""part_id"", ""part_description"", ""part_class"", ""unit_of_measure"", ""reorder_point"", ""lead_time_days"", ""on_hand_qty"", ""total_open_demand"", ""open_order_count"", ""horizon_days"", ""avg_daily_demand"", ""lt_demand_proxy"", ""safety_stock_proxy"", ""rop_health""]",mrp_views_v1,2026-07-26T00:46:15.798349+00:00
LEADTIMEDEMAND,inventory_leadtimedemand_20260703_000007,app_schema/ground_truth/sql_snippets/inventory_leadtimedemand_20260703_000007.sql,"[""part"", ""customer_order_line"", ""customer_order"", ""work_order""]","[""horizon"", ""open_demand""]","[{""left_table"": ""part"", ""right_table"": ""horizon"", ""join_type"": ""CROSS"", ""on_condition"": """", ""left_key"": null, ""right_key"": null, ""left_alias"": ""p"", ""right_alias"": ""h"", ""scope"": """"}, {""left_table"": ""part"", ""right_table"": ""open_demand"", ""join_type"": ""LEFT"", ""on_condition"": ""od.part_id = p.part_id"", ""left_key"": ""part_id"", ""right_key"": ""part_id"", ""left_alias"": ""p"", ""right_alias"": ""od"", ""scope"": """"}, {""left_table"": ""customer_order_line"", ""right_table"": ""customer_order"", ""join_type"": ""INNER"", ""on_condition"": ""o.order_id = col.order_id"", ""left_key"": ""order_id"", ""right_key"": ""order_id"", ""left_alias"": ""col"", ""right_alias"": ""o"", ""scope"": ""open_demand""}, {""left_table"": ""customer_order_line"", ""right_table"": ""horizon"", ""join_type"": ""CROSS"", ""on_condition"": """", ""left_key"": null, ""right_key"": null, ""left_alias"": ""col"", ""right_alias"": ""h"", ""scope"": ""open_demand""}]","[""p.active = 1"", ""o.status = 'Open' AND NOT col.need_by_date IS NULL AND DATE(col.need_by_date) >= h.plan_start AND DATE(col.need_by_date) < h.horizon_end""]","[""lead_time_demand""]",1,[],"[""part_id"", ""part_description"", ""part_class"", ""unit_of_measure"", ""lead_time_days"", ""reorder_point"", ""on_hand_qty"", ""total_open_demand"", ""open_line_count"", ""horizon_days"", ""avg_daily_demand"", ""lead_time_demand"", ""coverage_status""]",mrp_views_v1,2026-07-26T00:46:15.804943+00:00
MINIMUMSTOCKQUANTITY,inventory_minimumstock_20260703_000008,app_schema/ground_truth/sql_snippets/inventory_minimumstock_20260703_000008.sql,"[""part""]",[],[],"[""p.active = 1""]","[""buffer_above_min""]",0,[],"[""part_id"", ""part_description"", ""part_class"", ""unit_of_measure"", ""minimum_stock_qty"", ""on_hand_qty"", ""lead_time_days"", ""buffer_above_min"", ""min_stock_status""]",mrp_views_v1,2026-07-26T00:46:15.806684+00:00
MAXIMUMSTOCKQUANTITY,inventory_maximumstock_20260703_000009,app_schema/ground_truth/sql_snippets/inventory_maximumstock_20260703_000009.sql,"[""part"", ""po_line"", ""purchase_order""]",[],"[{""left_table"": ""part"", ""right_table"": ""pol"", ""join_type"": ""LEFT"", ""on_condition"": ""pol.part_id = p.part_id"", ""left_key"": ""part_id"", ""right_key"": ""part_id"", ""left_alias"": ""p"", ""right_alias"": ""pol"", ""scope"": """"}, {""left_table"": ""po_line"", ""right_table"": ""purchase_order"", ""join_type"": ""INNER"", ""on_condition"": ""po.po_id = pl.po_id"", ""left_key"": ""po_id"", ""right_key"": ""po_id"", ""left_alias"": ""pl"", ""right_alias"": ""po"", ""scope"": ""pol""}]","[""p.active = 1"", ""po.status <> 'Cancelled'""]","[""maximum_stock_qty""]",0,[],"[""part_id"", ""part_description"", ""part_class"", ""unit_of_measure"", ""minimum_stock_qty"", ""avg_replenishment_qty"", ""po_line_count"", ""maximum_stock_qty"", ""on_hand_qty"", ""minmax_status""]",mrp_views_v1,2026-07-26T00:46:15.810308+00:00
ECONOMICORDERQUANTITY,inventory_eoq_20260703_000010,app_schema/ground_truth/sql_snippets/inventory_eoq_20260703_000010.sql,"[""part"", ""po_line"", ""purchase_order""]",[],"[{""left_table"": ""part"", ""right_table"": ""pol"", ""join_type"": ""LEFT"", ""on_condition"": ""pol.part_id = p.part_id"", ""left_key"": ""part_id"", ""right_key"": ""part_id"", ""left_alias"": ""p"", ""right_alias"": ""pol"", ""scope"": """"}, {""left_table"": ""po_line"", ""right_table"": ""purchase_order"", ""join_type"": ""INNER"", ""on_condition"": ""po.po_id = pl.po_id"", ""left_key"": ""po_id"", ""right_key"": ""po_id"", ""left_alias"": ""pl"", ""right_alias"": ""po"", ""scope"": ""pol""}]","[""p.active = 1"", ""po.status <> 'Cancelled'""]","[""eoq_order_value""]",0,[],"[""part_id"", ""part_description"", ""part_class"", ""unit_of_measure"", ""unit_cost"", ""eoq_proxy"", ""avg_historical_po_qty"", ""total_historical_po_qty"", ""po_line_count"", ""eoq_order_value"", ""eoq_confidence""]",mrp_views_v1,2026-07-26T00:46:15.813608+00:00
GLINVENTORYBALANCE,ledger_inventorybalance_20260719_000001,app_schema/ground_truth/sql_snippets/ledger_inventorybalance_20260719_000001.sql,"[""gl_finished_goods_inventory"", ""gl_raw_materials_inventory"", ""gl_wip_inventory""]",[],[],"[""(:as_of_date IS NULL OR event_date <= :as_of_date)""]",[],0,[],"[""3"", ""'Finished Goods'"", ""COUNT(*)"", ""ROUND(SUM(amount), 2)""]",ledger_views_v1,2026-07-26T00:46:15.816576+00:00
GLJOBCOSTSUMMARY,ledger_jobcostsummary_20260719_000002,app_schema/ground_truth/sql_snippets/ledger_jobcostsummary_20260719_000002.sql,"[""gl_job_cost_detail""]",[],[],"[""(:job_id IS NULL OR jcd.job_id = :job_id) AND (:start_date IS NULL OR jcd.event_date >= :start_date) AND (:end_date IS NULL OR jcd.event_date <= :end_date)""]","[""job_id"", ""event_type""]",1,[],"[""job_id"", ""cost_element"", ""posting_count"", ""total_cost""]",ledger_views_v1,2026-07-26T00:46:15.818304+00:00
GLEVENTTRACE,ledger_eventtrace_20260719_000003,app_schema/ground_truth/sql_snippets/ledger_eventtrace_20260719_000003.sql,"[""gl_events""]",[],[],"[""(:job_id IS NULL OR ge.job_id = :job_id) AND (:start_date IS NULL OR ge.event_date >= :start_date) AND (:end_date IS NULL OR ge.event_date <= :end_date)""]","[""event_date"", ""event_id""]",1,[],"[""event_id"", ""job_id"", ""event_type"", ""amount"", ""event_date"", ""source_table"", ""source_id""]",ledger_views_v1,2026-07-26T00:46:15.821679+00:00
